beta_m,v1,v2,v3,MinCost,PeakI,PeakDay
1.0,0.04,0.0,0.021748147602088718,136714189439.1138,31530508.0,0
0.9,0.04,0.0,0.021748147602088718,135004381145.11304,31530508.0,0
0.8,0.034,0.0,0.02443036982113001,133103131153.7732,31530508.0,0
0.7,0.028,0.0,0.02711259204017131,130729530263.92903,31530508.0,0
0.6,0.022,0.0,0.0297948142592126,127778138382.64017,31530508.0,0
0.5,0.016,0.0,0.032477036478253896,124224072461.77179,31530508.0,0
0.4,0.008,0.0,0.03605333277030895,120015730992.16518,31530508.0,0
0.3,0.0,0.0,0.03962962906236401,115793079218.47821,31530508.0,0
0.2,0.0,0.0,0.03962962906236401,127863220241.57639,31530508.0,0
