,0-19,20-49,50-80+
0-19,0.19006384930492828,0.06598228079497202,0.0027578556978051943
20-49,0.10838791093328345,0.15504754210783905,0.0452931044532281
50-80+,0.1355602980157243,0.15400019488363872,0.11651439743280899
