Date,M00,M01,M02,M10,M11,M12,M20,M21,M22
2020-03-01,0.6741717039599637,0.6944557378007896,0.8008305310015017,0.806150001605588,0.8075375013378872,0.8096077954280476,0.8435493443257057,0.9050181547895766,0.929253923920974
2020-03-02,0.71574831501324,0.7130595033470224,0.6603851623999883,0.6439007124647236,0.6198412312684555,0.6402995283748539,0.6565149691998472,0.6573602883826669,0.6523788466157187
2020-03-03,0.4660212065004662,0.47689662135227606,0.4911372506772277,0.4956155296538203,0.5063043038521184,0.5017247593521944,0.5027402802076534,0.5207015360339506,0.5258052062206265
2020-03-04,0.44122731572651114,0.4417347417006122,0.7429030819467362,0.4010942830459283,0.378357406824963,0.3960230488867017,0.41995239830595454,0.4354363961625646,0.43965872102919273
2020-03-05,0.6180412671376108,0.6166328705430222,0.8786187607698346,0.3608427797166407,0.3467343757432584,0.3583831699249623,0.5879890615782106,0.5985798264220324,0.6007192138755523
2020-03-06,0.5629628866560991,0.5697286445662563,0.8434113508328596,0.4000284469844589,0.3389831472836332,0.38010102248485134,0.5214937321162174,0.46918954969003085,0.41799841903296026
2020-03-07,0.5245104228846638,0.5106292250043246,0.6880695833968061,0.30277926557987306,0.2105188330347024,0.2701260513416154,0.41514863594627904,0.36287456203870716,0.3115865890593582
2020-03-08,0.34331869916200264,0.3365175948540848,0.4597947753452877,0.1981003878713176,0.1287817721806289,0.1731560154714575,0.283199707815045,0.2547354163052355,0.2275585174350179
2020-03-09,0.17290856092273235,0.17088841389017484,0.23915906516781132,0.10403666623008156,0.06899017211844823,0.09120825195285809,0.14979110764605894,0.13716993080713855,0.1261368650014869
2020-03-10,0.28860311503418723,0.2835656870804377,0.3419219590747972,0.19005468491451,0.11325725931683421,0.15628294323214442,0.2750245573568342,0.2846831718279531,0.3030870319842117
2020-03-11,0.11324315067678897,0.11572834930409191,0.1500709368803314,0.08812885967221323,0.06301151052207025,0.0779319408109622,0.12279944182151382,0.1299547416196577,0.14109396408634203
2020-03-12,0.16037258726476808,0.15561886579485548,0.1752395862625606,0.08436146981412047,0.05539470126613478,0.07212790631893817,0.14095804119685498,0.14127383689607517,0.14071230785274547
2020-03-13,0.11035600647777849,0.12042961223578105,0.1705025041430625,0.08982284433026078,0.058169580344738375,0.076121468997301,0.1474870916571846,0.14740300684148502,0.1461589191035139
2020-03-14,0.08365877687981567,0.09036040606863661,0.12471798425834796,0.06585661103615305,0.04465932193910135,0.057741883104141085,0.10777508896117685,0.1065600137094382,0.10493142639472484
2020-03-15,0.13847593649641252,0.13779420525464892,0.1542988467555982,0.06324012697815418,0.03912709973697226,0.052975527201371504,0.12953495518984498,0.12048614609057287,0.10277898357157944
2020-03-16,0.09676959695492662,0.10580467858767038,0.17326769965009228,0.09809140620572832,0.07439455305267789,0.0876354962993778,0.1264521965993889,0.11737565033868765,0.0991602768309705
2020-03-17,0.05097720144525408,0.06806801660779456,0.16365402013317543,0.09411324047601943,0.06742474424875522,0.08021872079899016,0.18042603885447336,0.17080881187301836,0.1516903690601992
2020-03-18,0.25175244905250926,0.25216450563599885,0.2811785778423497,0.17210919973604985,0.06359907663138863,0.08325832692197206,0.29728692249625455,0.3043425595333394,0.3224438284248015
2020-03-19,0.3643124190178742,0.3734174132534543,0.41879561659297526,0.1496638099710732,0.03440620416795339,0.0528508471097822,0.2410384584731114,0.2062885644833061,0.10678965637241296
2020-03-20,0.14948705782282787,0.21168373242897612,0.3740914665906124,0.22150127543071388,0.04420843175656898,0.058992443483923795,0.3604002320879251,0.35662725164169684,0.3376811896613757
2020-03-21,0.09351688325001396,0.16712097639966814,0.356654092829515,0.2693370432023831,0.07834574701197558,0.08902479785554775,0.31677397930647666,0.26610359477633627,0.097764097101094
2020-03-22,0.022989015910192628,0.07112507135266621,0.1975522661365362,0.16180855257077115,0.07682613828808843,0.08679716099898901,0.17905751963641295,0.14876322564898534,0.05170230851163947
2020-03-23,0.31558363967899766,0.3392838822761055,0.3703737093194875,0.14699202152401333,0.06866361904095027,0.07729085950886237,0.3154471942915807,0.2520821901089638,0.05185476291105591
2020-03-24,0.2080370816642765,0.2496384803164844,0.3354644790723887,0.263406881928023,0.18129539391955837,0.18746206279499442,0.2897878233405118,0.22285325859695873,0.011495672398611304
2020-03-25,0.4733257433948258,0.48846991633464487,0.4904527931683381,0.23097965406394041,0.138103112738822,0.1414197939962134,0.4146144873137686,0.32323829506259577,0.03395239673103183
2020-03-26,0.3109486560304148,0.36631758949773935,0.45005372934147003,0.20298093570625395,0.08020071240879369,0.07653926533734799,0.47875885215939556,0.38136850395520844,0.07098904880792414
2020-03-27,0.10435730746106758,0.29768238059443164,0.4942759939709079,0.2989618072950292,0.21106952808209772,0.21637495329185152,0.5398510095326886,0.4485759747745155,0.14284358341964778
