confirmed_cases,confirmed_case_rate,critical_rate,deaths,death_rate,age_group,date,date.1
4687,6.38,0.0,0,0.0,10-19,2021-01-20,2021-01-20
4714,6.38,0.0,0,0.0,10-19,2021-01-21,2021-01-21
4735,6.38,0.0,0,0.0,10-19,2021-01-22,2021-01-22
4765,6.38,0.0,0,0.0,10-19,2021-01-23,2021-01-23
4783,6.37,0.0,0,0.0,10-19,2021-01-24,2021-01-24
4921,6.52,0.0,0,0.0,10-19,2021-01-25,2021-01-25
4951,6.53,0.0,0,0.0,10-19,2021-01-26,2021-01-26
5048,6.61,0.0,0,0.0,10-19,2021-01-27,2021-01-27
5095,6.62,0.0,0,0.0,10-19,2021-01-28,2021-01-28
5134,6.63,0.0,0,0.0,10-19,2021-01-29,2021-01-29
5182,6.66,0.0,0,0.0,10-19,2021-01-30,2021-01-30
5202,6.65,0.0,0,0.0,10-19,2021-01-31,2021-01-31
5232,6.66,0.0,0,0.0,10-19,2021-02-01,2021-02-01
5262,6.67,0.0,0,0.0,10-19,2021-02-02,2021-02-02
5303,6.69,0.0,0,0.0,10-19,2021-02-03,2021-02-03
5330,6.68,0.0,0,0.0,10-19,2021-02-04,2021-02-04
5358,6.69,0.0,0,0.0,10-19,2021-02-05,2021-02-05
5389,6.69,0.0,0,0.0,10-19,2021-02-06,2021-02-06
5415,6.69,0.0,0,0.0,10-19,2021-02-07,2021-02-07
5424,6.68,0.0,0,0.0,10-19,2021-02-08,2021-02-08
5450,6.69,0.0,0,0.0,10-19,2021-02-09,2021-02-09
5503,6.72,0.0,0,0.0,10-19,2021-02-10,2021-02-10
5531,6.71,0.0,0,0.0,10-19,2021-02-11,2021-02-11
5561,6.71,0.0,0,0.0,10-19,2021-02-12,2021-02-12
5585,6.71,0.0,0,0.0,10-19,2021-02-13,2021-02-13
5606,6.71,0.0,0,0.0,10-19,2021-02-14,2021-02-14
5635,6.72,0.0,0,0.0,10-19,2021-02-15,2021-02-15
5666,6.72,0.0,0,0.0,10-19,2021-02-16,2021-02-16
5704,6.72,0.0,0,0.0,10-19,2021-02-17,2021-02-17
5734,6.7,0.0,0,0.0,10-19,2021-02-18,2021-02-18
5772,6.7,0.0,0,0.0,10-19,2021-02-19,2021-02-19
5800,6.7,0.0,0,0.0,10-19,2021-02-20,2021-02-20
5831,6.7,0.0,0,0.0,10-19,2021-02-21,2021-02-21
5861,6.71,0.0,0,0.0,10-19,2021-02-22,2021-02-22
5883,6.71,0.0,0,0.0,10-19,2021-02-23,2021-02-23
5913,6.71,0.0,0,0.0,10-19,2021-02-24,2021-02-24
5944,6.72,0.0,0,0.0,10-19,2021-02-25,2021-02-25
5971,6.72,0.0,0,0.0,10-19,2021-02-26,2021-02-26
6002,6.72,0.0,0,0.0,10-19,2021-02-27,2021-02-27
6031,6.73,0.0,0,0.0,10-19,2021-02-28,2021-02-28
6061,6.73,0.0,0,0.0,10-19,2021-03-01,2021-03-01
6090,6.74,0.0,0,0.0,10-19,2021-03-02,2021-03-02
6132,6.75,0.0,0,0.0,10-19,2021-03-03,2021-03-03
6176,6.77,0.0,0,0.0,10-19,2021-03-04,2021-03-04
6201,6.77,0.0,0,0.0,10-19,2021-03-05,2021-03-05
6229,6.77,0.0,0,0.0,10-19,2021-03-06,2021-03-06
6260,6.77,0.0,0,0.0,10-19,2021-03-07,2021-03-07
6293,6.78,0.0,0,0.0,10-19,2021-03-08,2021-03-08
6316,6.77,0.0,0,0.0,10-19,2021-03-09,2021-03-09
6355,6.78,0.0,0,0.0,10-19,2021-03-10,2021-03-10
6398,6.79,0.0,0,0.0,10-19,2021-03-11,2021-03-11
6436,6.8,0.0,0,0.0,10-19,2021-03-12,2021-03-12
6463,6.79,0.0,0,0.0,10-19,2021-03-13,2021-03-13
6489,6.79,0.0,0,0.0,10-19,2021-03-14,2021-03-14
6513,6.78,0.0,0,0.0,10-19,2021-03-15,2021-03-15
6534,6.78,0.0,0,0.0,10-19,2021-03-16,2021-03-16
6564,6.78,0.0,0,0.0,10-19,2021-03-17,2021-03-17
6589,6.77,0.0,0,0.0,10-19,2021-03-18,2021-03-18
6619,6.77,0.0,0,0.0,10-19,2021-03-19,2021-03-19
6644,6.77,0.0,0,0.0,10-19,2021-03-20,2021-03-20
6666,6.76,0.0,0,0.0,10-19,2021-03-21,2021-03-21
6687,6.75,0.0,0,0.0,10-19,2021-03-22,2021-03-22
6713,6.75,0.0,0,0.0,10-19,2021-03-23,2021-03-23
6752,6.76,0.0,0,0.0,10-19,2021-03-24,2021-03-24
6784,6.77,0.0,0,0.0,10-19,2021-03-25,2021-03-25
