Date,S_0-19,I_0-19,R_0-19,V_0-19,S_20-49,I_20-49,R_20-49,V_20-49,S_50-80+,I_50-80+,R_50-80+,V_50-80+
2020-01-20,6246073.0,0.0,0.0,0.0,31530506.0,1.0,0.0,0.0,13972160.0,0.0,0.0,0.0
2020-01-21,6246073.0,0.0,0.0,0.0,31530506.0,0.917,0.083,0.0,13972160.0,0.0,0.0,0.0
2020-01-22,6246073.0,0.0,0.0,0.0,31530506.000415,0.840889,0.158696,0.0,13972160.0,0.0,0.0,0.0
2020-01-23,6246073.0,0.0,0.0,0.0,31530506.00120848,0.771095213,0.227696307,0.0,13972160.0,0.0,0.0,0.0
2020-01-24,6246073.0,0.0,0.0,0.0,31530506.002346963,0.7070943103209999,0.29055872814399997,0.0,13972159.0,1.0,0.0,0.0
2020-01-25,6246073.0,0.0,0.0,0.0,31530506.003799755,0.6484054825643569,0.34779476225992295,0.0,13972159.0,0.952,0.048,0.0
2020-01-26,6246073.0,0.0,0.0,0.0,31530506.005538728,0.5945878275115153,0.399873443501465,0.0,13972158.00024,1.906304,0.093456,0.0
2020-01-27,6246073.0,0.0,0.0,0.0,31530506.007538095,0.5452370378280595,0.44722486596741345,0.0,13972157.00070728,2.814801408,0.18449131200000002,0.0
2020-01-28,6246073.0,0.0,0.0,0.0,31530506.00977422,0.4999823636883306,0.49024341577730535,0.0,13972157.001629736,2.679690940416,0.31867932302400004,0.0
2020-01-29,6246073.0,0.0,0.0,0.0,31530506.012225438,0.4584838275021992,0.5292907348845503,0.0,13972157.003223132,2.551065775276032,0.4457110915488481,0.0
2020-01-30,6246073.0,0.0,0.0,0.0,31530504.01487189,2.4204296698195167,0.56469843889281,0.0,13972156.005451689,3.428614618062783,0.5659336933043534,0.0
2020-01-31,6246073.0,0.0,0.0,0.0,31530502.017695382,4.219534007224497,0.7627706092933658,0.0,13972154.008281358,5.264041116395769,0.7276775265048452,0.0
2020-02-01,6246073.0,0.0,0.0,0.0,31530501.021509234,4.869312684624863,1.1091780788465322,0.0,13972154.011919744,5.011367142808773,0.9767131124593179,0.0
2020-02-02,6246073.0,0.0,0.0,0.0,31530498.027055126,7.465159731801,1.5077851412761631,0.0,13972154.01680331,4.770821519953952,1.2123751697518426,0.0
2020-02-03,6246073.0,0.0,0.0,0.0,31530498.03459405,6.8455514740615175,2.1198544733092652,0.0,13972154.022865186,4.541822086996162,1.435312726860873,0.0
2020-02-04,6246073.0,0.0,0.0,0.0,31530497.045193326,7.277370701714411,2.6774359732898247,0.0,13972154.030041749,4.323814626820346,1.6461436234023843,0.0
2020-02-05,6246073.0,0.0,0.0,0.0,31530493.058580507,10.673348933472115,3.2680705616656716,0.0,13972153.038272467,5.116271524732969,1.845456007372749,0.0
2020-02-06,6246073.0,0.0,0.0,0.0,31530491.07492086,11.787460971993928,4.137618170335529,0.0,13972152.047499746,5.870690491545787,2.081809760523068,0.0
2020-02-07,6246073.0,0.0,0.0,0.0,31530491.09560895,10.809101711318432,5.095289340159347,0.0,13972152.057908796,5.5888973479515895,2.3531938553146503,0.0
2020-02-08,6246073.0,0.0,0.0,0.0,31530491.121085398,9.911946269279001,5.96696833549798,0.0,13972152.069674766,5.320630275249913,2.6096949587397535,0.0
2020-02-09,6246073.0,0.0,0.0,0.0,31530490.15092024,10.089254728928845,6.759825034170648,0.0,13972150.082723241,7.0652400220379175,2.85203673715805,0.0
2020-02-10,6246073.0,0.0,0.0,0.0,31530489.184719365,10.251846586427751,7.563434051500889,0.0,13972150.096983425,6.726108500980097,3.17690807453008,0.0
2020-02-11,6246073.0,0.0,0.0,0.0,31530489.222536534,9.400943319754248,8.376520147916887,0.0,13972150.112867966,6.403255292933053,3.4838767422044743,0.0
2020-02-12,6246073.0,0.0,0.0,0.0,31530489.264419135,8.620665024214645,9.114915842716906,0.0,13972150.13028735,6.0958990388722665,3.7738136125542385,0.0
2020-02-13,6246073.0,0.0,0.0,0.0,31530489.309993714,7.90514982720483,9.784856460513138,0.0,13972150.149156418,5.803295885006397,4.047547698357336,0.0
2020-02-14,6246073.0,0.0,0.0,0.0,31530489.358917996,7.249022391546829,10.392059613868575,0.0,13972150.169394156,5.52473768252609,4.305868162345857,0.0
2020-02-15,6246073.0,0.0,0.0,0.0,31530489.410878293,6.647353533048442,10.94176817429762,0.0,13972150.190923497,5.259550273764837,4.54952623029538,0.0
