new_age_group,date,confirmed_cases,new_confirmed_cases
20-49,2022-07-04,8233271,3196
20-49,2022-07-05,8243033,9762
20-49,2022-07-06,8253410,10377
20-49,2022-07-07,8263344,9934
20-49,2022-07-08,8273293,9949
20-49,2022-07-09,8283238,9945
20-49,2022-07-10,8293018,9780
20-49,2022-07-11,8299329,6311
20-49,2022-07-12,8317979,18650
20-49,2022-07-13,8338656,20677
20-49,2022-07-14,8358823,20167
20-49,2022-07-15,8377834,19011
20-49,2022-07-16,8397125,19291
20-49,2022-07-17,8415661,18536
20-49,2022-07-18,8427619,11958
20-49,2022-07-19,8462631,35012
20-49,2022-07-20,8500294,37663
20-49,2022-07-21,8536910,36616
20-49,2022-07-22,8570379,33469
20-49,2022-07-23,8601992,31613
20-49,2022-07-24,8631373,29381
20-49,2022-07-25,8648114,16741
20-49,2022-07-26,8697160,49046
20-49,2022-07-27,8747286,50126
20-49,2022-07-28,8791833,44547
20-49,2022-07-29,8832898,41065
20-49,2022-07-30,8871624,38726
20-49,2022-07-31,8905563,33939
20-49,2022-08-01,8926698,21135
20-49,2022-08-02,8981300,54602
20-49,2022-08-03,9038667,57367
20-49,2022-08-04,9090744,52077
20-49,2022-08-05,9143060,52316
20-49,2022-08-06,18386930,50405
20-49,2022-08-07,9240502,47037
20-49,2022-08-08,9266768,26266
20-49,2022-08-09,9337846,71078
20-49,2022-08-10,9408957,71111
20-49,2022-08-11,9473003,64046
20-49,2022-08-12,9530676,57673
20-49,2022-08-13,9584443,53767
20-49,2022-08-14,9633789,49346
20-49,2022-08-15,9660883,27094
20-49,2022-08-16,9700145,39262
20-49,2022-08-17,9783282,83137
20-49,2022-08-18,9862542,79260
20-49,2022-08-19,9923794,61252
20-49,2022-08-20,9977864,54070
20-49,2022-08-21,10022891,45027
20-49,2022-08-22,10048178,25287
20-49,2022-08-23,10112007,63829
20-49,2022-08-24,10170609,58602
20-49,2022-08-25,10219443,48834
20-49,2022-08-26,10260598,41155
20-49,2022-08-27,10297652,37054
20-49,2022-08-28,10330615,32963
20-49,2022-08-29,10348660,18045
20-49,2022-08-30,10395485,46825
20-49,2022-08-31,10438277,42792
20-49,2022-09-01,10473094,34817
20-49,2022-09-02,10508474,35380
20-49,2022-09-03,10539093,30619
20-49,2022-09-04,21133068,27441
20-49,2022-09-05,10581783,15249
20-49,2022-09-06,10622085,40302
20-49,2022-09-07,10656584,34499
20-49,2022-09-08,10686328,29744
20-49,2022-09-09,10712432,26104
20-49,2022-09-10,21456580,15858
20-49,2022-09-11,10739111,10821
20-49,2022-09-12,10754414,15303
20-49,2022-09-13,10779772,25358
20-49,2022-09-14,10820293,40521
20-49,2022-09-15,10850825,30532
20-49,2022-09-16,10873064,22239
20-49,2022-09-17,10890975,17911
20-49,2022-09-18,10904620,13645
20-49,2022-09-19,10912991,8371
20-49,2022-09-20,10933044,20053
20-49,2022-09-21,10950243,17199
20-49,2022-09-22,10964370,14127
20-49,2022-09-23,10976366,11996
20-49,2022-09-24,10987927,11561
20-49,2022-09-25,10998253,10326
20-49,2022-09-26,11004287,6034
20-49,2022-09-27,11020969,16682
20-49,2022-09-28,11036251,15282
20-49,2022-09-29,22099166,13332
20-49,2022-09-30,11060940,11357
20-49,2022-10-01,22143292,10706
20-49,2022-10-02,11080777,9131
20-49,2022-10-03,11085858,5081
20-49,2022-10-04,22186240,7262
20-49,2022-10-05,11107932,14812
20-49,2022-10-06,11119942,12010
20-49,2022-10-07,11129084,9142
20-49,2022-10-08,11136713,7629
20-49,2022-10-09,11143571,6858
20-49,2022-10-10,11147343,3772
20-49,2022-10-11,11154242,6899
20-49,2022-10-12,11167318,13076
20-49,2022-10-13,11178673,11355
20-49,2022-10-14,11188572,9899
20-49,2022-10-15,11197727,9155
20-49,2022-10-16,11206072,8345
20-49,2022-10-17,11210940,4868
20-49,2022-10-18,22450442,14281
20-49,2022-10-19,11237377,12156
20-49,2022-10-20,11248074,10697
20-49,2022-10-21,11258013,9939
20-49,2022-10-22,11268781,10768
20-49,2022-10-23,11279073,10292
20-49,2022-10-24,22570690,6272
20-49,2022-10-25,22608122,18716
20-49,2022-10-26,11320947,16886
20-49,2022-10-27,11335620,14673
20-49,2022-10-28,11350398,14778
20-49,2022-10-29,11365172,14774
20-49,2022-10-30,11378945,13773
20-49,2022-10-31,22766014,8124
20-49,2022-11-01,22824914,27780
20-49,2022-11-02,22871328,23207
20-49,2022-11-03,11455794,20130
20-49,2022-11-04,11473501,17707
20-49,2022-11-05,11489696,16195
20-49,2022-11-06,11504272,14576
20-49,2022-11-07,11512548,8276
20-49,2022-11-08,11539770,27222
20-49,2022-11-09,11566317,26547
20-49,2022-11-10,11590332,24015
20-49,2022-11-11,11613052,22720
20-49,2022-11-12,11634915,21863
20-49,2022-11-13,11654096,19181
20-49,2022-11-14,11664550,10454
20-49,2022-11-15,11696586,32036
20-49,2022-11-16,11724790,28204
20-49,2022-11-17,11748548,23758
20-49,2022-11-18,11769201,20653
20-49,2022-11-19,11789478,20277
20-49,2022-11-20,11808079,18601
20-49,2022-11-21,11818462,10383
20-49,2022-11-22,11851236,32774
20-49,2022-11-23,11881897,30661
20-49,2022-11-24,11907872,25975
20-49,2022-11-25,11930753,22881
20-49,2022-11-26,11952115,21362
20-49,2022-11-27,11971431,19316
20-49,2022-11-28,11981596,10165
20-49,2022-11-29,12013411,31815
20-49,2022-11-30,24084630,28904
20-49,2022-12-01,12067699,25384
20-49,2022-12-02,12090456,22757
20-49,2022-12-03,12112280,21824
20-49,2022-12-04,12131618,19338
20-49,2022-12-05,12142343,10725
20-49,2022-12-06,12177826,35483
20-49,2022-12-07,12210899,33073
20-49,2022-12-08,24480880,29541
20-49,2022-12-09,24535116,27118
20-49,2022-12-10,12293662,26104
20-49,2022-12-11,12316302,22640
20-49,2022-12-12,12327959,11657
20-49,2022-12-13,12367753,39794
20-49,2022-12-14,12405406,37653
20-49,2022-12-15,12437412,32006
20-49,2022-12-16,12466695,29283
20-49,2022-12-17,12495044,28349
20-49,2022-12-18,12519868,24824
20-49,2022-12-19,12532272,12404
20-49,2022-12-20,12572633,40361
20-49,2022-12-21,12612304,39671
20-49,2022-12-22,12646620,34316
20-49,2022-12-23,12676926,30306
20-49,2022-12-24,12705423,28497
20-49,2022-12-25,12730441,25018
20-49,2022-12-26,12742199,11758
20-49,2022-12-27,12782366,40167
20-49,2022-12-28,12821196,38830
20-49,2022-12-29,12853523,32327
20-49,2022-12-30,12882234,28711
20-49,2022-12-31,12908971,26737
20-49,2023-01-01,12933638,24667
20-49,2023-01-02,25888422,10573
20-49,2023-01-03,12982842,38631
20-49,2023-01-04,13018829,35987
20-49,2023-01-05,13048122,29293
20-49,2023-01-06,26146412,25084
20-49,2023-01-07,13096483,23277
20-49,2023-01-08,13116176,19693
20-49,2023-01-09,13125110,8934
20-49,2023-01-10,13153126,28016
20-49,2023-01-11,26354776,24262
20-49,2023-01-12,26394898,20061
20-49,2023-01-13,13215135,17686
20-49,2023-01-14,39692262,15619
20-49,2023-01-15,13244561,13807
20-49,2023-01-16,13251194,6633
20-49,2023-01-17,13270063,18869
20-49,2023-01-18,13286248,16185
20-49,2023-01-19,13299525,13277
20-49,2023-01-20,13311245,11720
20-49,2023-01-21,13322312,11067
20-49,2023-01-22,13329266,6954
20-49,2023-01-23,13333132,3866
20-49,2023-01-24,13338673,5541
20-49,2023-01-25,13348142,9469
20-49,2023-01-26,13364864,16722
20-49,2023-01-27,13379071,14207
20-49,2023-01-28,13389572,10501
20-49,2023-01-29,13397738,8166
20-49,2023-01-30,13401284,3546
20-49,2023-01-31,13410663,9379
20-49,2023-02-01,13419905,9242
20-49,2023-02-02,13427599,7694
20-49,2023-02-03,26868568,6685
20-49,2023-02-04,13440648,6364
20-49,2023-02-05,13446568,5920
20-49,2023-02-06,13449299,2731
20-49,2023-02-07,13456704,7405
20-49,2023-02-08,13464638,7934
20-49,2023-02-09,13471180,6542
20-49,2023-02-10,13477019,5839
20-49,2023-02-11,13482436,5417
20-49,2023-02-12,13487389,4953
20-49,2023-02-13,13489801,2412
20-49,2023-02-14,13496556,6755
20-49,2023-02-15,40509408,6580
20-49,2023-02-16,13508856,5720
20-49,2023-02-17,13513805,4949
20-49,2023-02-18,13518388,4583
20-49,2023-02-19,13522774,4386
20-49,2023-02-20,13524835,2061
20-49,2023-02-21,13530486,5651
20-49,2023-02-22,13536417,5931
20-49,2023-02-23,13541409,4992
20-49,2023-02-24,13545987,4578
20-49,2023-02-25,13550313,4326
20-49,2023-02-26,13554290,3977
20-49,2023-02-27,13556234,1944
20-49,2023-02-28,13561465,5231
20-49,2023-03-01,13566995,5530
20-49,2023-03-02,13570443,3448
20-49,2023-03-03,27155665,9840
20-49,2023-03-04,13580283,1684
20-49,2023-03-06,40757641,6278
20-49,2023-03-07,13592225,7053
20-49,2023-03-08,13597817,5592
20-49,2023-03-09,13602569,4752
20-49,2023-03-10,13606968,4399
20-49,2023-03-11,13611046,4078
20-49,2023-03-13,27231652,5702
20-49,2023-03-14,13621885,6373
20-49,2023-03-15,13626925,5040
20-49,2023-03-16,13631175,4250
20-49,2023-03-17,13635020,3845
20-49,2023-03-18,13638643,3623
20-49,2023-03-20,40930193,5909
20-49,2023-03-21,13649382,5413
20-49,2023-03-22,13655049,5667
20-49,2023-03-23,13660066,5017
20-49,2023-03-24,13664547,4481
20-49,2023-03-25,13668882,4335
20-49,2023-03-26,13672833,3951
20-49,2023-03-27,13674812,1979
20-49,2023-03-28,13680532,5720
20-49,2023-03-29,13686410,5878
20-49,2023-03-30,13691461,5051
20-49,2023-03-31,13696180,4719
20-49,2023-04-01,13700271,4091
20-49,2023-04-03,13706666,6395
20-49,2023-04-04,13713192,6526
20-49,2023-04-05,13719886,6694
20-49,2023-04-06,13725527,5641
20-49,2023-04-07,13730473,4946
20-49,2023-04-08,13734855,4382
20-49,2023-04-09,13738977,4122
20-49,2023-04-10,13740878,1901
20-49,2023-04-11,13746802,5924
20-49,2023-04-12,13753233,6431
20-49,2023-04-13,13758510,5277
20-49,2023-04-14,13763765,5255
20-49,2023-04-15,13768632,4867
20-49,2023-04-16,13773029,4397
20-49,2023-04-17,13775451,2422
20-49,2023-04-18,13782798,7347
20-49,2023-04-19,13790295,7497
20-49,2023-04-20,13796648,6353
20-49,2023-04-21,13802562,5914
20-49,2023-04-22,13808230,5668
20-49,2023-04-23,13813128,4898
20-49,2023-04-24,13815446,2318
20-49,2023-04-25,13822308,6862
20-49,2023-04-26,13829628,7320
20-49,2023-04-27,13836151,6523
20-49,2023-04-28,13842226,6075
20-49,2023-04-29,13848358,6132
20-49,2023-04-30,13853985,5627
20-49,2023-05-01,13856675,2690
20-49,2023-05-02,13863784,7109
20-49,2023-05-03,13873165,9381
20-49,2023-05-04,13882098,8933
20-49,2023-05-05,13890156,8058
20-49,2023-05-08,13905222,15066
20-49,2023-05-09,13915522,10300
20-49,2023-05-10,13926129,10607
20-49,2023-05-11,13935609,9480
20-49,2023-05-12,13944543,8934
20-49,2023-05-13,13952745,8202
20-49,2023-05-14,13960118,7373
20-49,2023-05-15,13963476,3358
20-49,2023-05-16,13974500,11024
20-49,2023-05-17,13985836,11336
20-49,2023-05-18,13995385,9549
20-49,2023-05-19,14003847,8462
20-49,2023-05-20,14011471,7624
20-49,2023-05-22,14021679,10208
20-49,2023-05-23,14031253,9574
20-49,2023-05-24,14041159,9906
20-49,2023-05-25,14049620,8461
20-49,2023-05-26,14057344,7724
20-49,2023-05-27,14064495,7151
20-49,2023-05-30,14078622,14127
20-49,2023-05-31,14089982,11360
20-49,2023-06-01,14101051,11069
20-49,2023-06-02,14109797,8746
20-49,2023-06-03,14117646,7849
20-49,2023-06-04,14124284,6638
20-49,2023-06-05,14127361,3077
20-49,2023-06-06,14136003,8642
20-49,2023-06-07,28285444,6719
20-49,2023-06-08,14152239,9517
20-49,2023-06-09,14161666,9427
20-49,2023-06-12,14178134,16468
20-49,2023-06-13,14187428,9294
20-49,2023-06-14,14196262,8834
20-49,2023-06-15,14203795,7533
20-49,2023-06-16,14210607,6812
20-49,2023-06-17,14217307,6700
20-49,2023-06-18,14223281,5974
20-49,2023-06-19,14226097,2816
20-49,2023-06-20,14234624,8527
20-49,2023-06-21,14243416,8792
20-49,2023-06-22,14250824,7408
20-49,2023-06-23,14257585,6761
20-49,2023-06-24,14264158,6573
20-49,2023-06-25,14270436,6278
20-49,2023-06-26,14273264,2828
20-49,2023-06-27,14282399,9135
20-49,2023-06-28,14291653,9254
20-49,2023-06-29,14300221,8568
20-49,2023-06-30,28624860,16131
20-49,2023-07-01,14316352,2616
20-49,2023-07-02,14323527,7175
20-49,2023-07-03,14326847,3320
20-49,2023-07-04,14338429,11582
20-49,2023-07-05,14350454,12025
20-49,2023-07-06,28723056,11074
20-49,2023-07-07,14372338,10810
20-49,2023-07-08,14382921,10583
20-49,2023-07-09,14392016,9095
20-49,2023-07-10,14396132,4116
20-49,2023-07-11,28805678,13414
20-49,2023-07-12,14423830,19140
20-49,2023-07-13,14436610,12780
20-49,2023-07-14,14448840,12230
20-49,2023-07-15,14460953,12113
20-49,2023-07-17,14476912,15959
20-49,2023-07-18,14494334,17422
20-49,2023-07-19,14513587,19253
20-49,2023-07-20,14531541,17954
20-49,2023-07-21,14549018,17477
20-49,2023-07-22,29132868,17427
20-49,2023-07-23,14583085,16647
20-49,2023-07-24,14590394,7309
20-49,2023-07-25,14613097,22703
20-49,2023-07-26,14638283,25186
20-49,2023-07-27,14661562,23279
20-49,2023-07-28,14682885,21323
20-49,2023-07-29,14703808,20923
20-49,2023-07-30,14722405,18597
50-80+,2020-01-20,0,0
50-80+,2020-01-21,0,0
50-80+,2020-01-22,0,0
50-80+,2020-01-23,0,0
50-80+,2020-01-24,1,1
50-80+,2020-01-25,1,0
50-80+,2020-01-26,2,1
50-80+,2020-01-27,3,1
50-80+,2020-01-28,3,0
50-80+,2020-01-29,3,0
50-80+,2020-01-30,4,1
50-80+,2020-01-31,6,2
50-80+,2020-02-01,6,0
50-80+,2020-02-02,6,0
50-80+,2020-02-03,6,0
50-80+,2020-02-04,6,0
50-80+,2020-02-05,7,1
50-80+,2020-02-06,8,1
50-80+,2020-02-07,8,0
50-80+,2020-02-08,8,0
50-80+,2020-02-09,10,2
50-80+,2020-02-10,10,0
50-80+,2020-02-11,10,0
50-80+,2020-02-12,10,0
50-80+,2020-02-13,10,0
50-80+,2020-02-14,10,0
50-80+,2020-02-15,10,0
50-80+,2020-02-16,12,2
50-80+,2020-02-17,12,0
50-80+,2020-02-18,13,1
50-80+,2020-02-19,32,19
50-80+,2020-02-20,38,6
50-80+,2020-02-21,71,33
50-80+,2020-02-22,185,114
50-80+,2020-02-23,279,94
50-80+,2020-02-24,367,88
50-80+,2020-02-25,414,47
50-80+,2020-02-26,517,103
50-80+,2020-02-27,665,148
50-80+,2020-02-28,825,160
50-80+,2020-02-29,1160,335
50-80+,2020-03-01,1359,199
50-80+,2020-03-02,1635,276
50-80+,2020-03-03,1862,227
50-80+,2020-03-04,2059,197
50-80+,2020-03-05,2233,174
50-80+,2020-03-06,2485,252
50-80+,2020-03-07,2686,201
50-80+,2020-03-08,2845,159
50-80+,2020-03-09,2959,114
50-80+,2020-03-10,3020,61
50-80+,2020-03-11,3150,130
50-80+,2020-03-12,3209,59
50-80+,2020-03-13,3268,59
50-80+,2020-03-14,3327,59
50-80+,2020-03-15,3368,41
50-80+,2020-03-16,3409,41
50-80+,2020-03-17,3447,38
50-80+,2020-03-18,3501,54
50-80+,2020-03-19,3604,103
50-80+,2020-03-20,3651,47
50-80+,2020-03-21,3759,108
50-80+,2020-03-22,3808,49
50-80+,2020-03-23,3834,26
50-80+,2020-03-24,3869,35
50-80+,2020-03-25,3893,24
50-80+,2020-03-26,3930,37
50-80+,2020-03-27,3978,48
50-80+,2020-03-28,4043,65
50-80+,2020-03-29,4075,32
50-80+,2020-03-30,4105,30
50-80+,2020-03-31,4176,71
50-80+,2020-04-01,4217,41
50-80+,2020-04-02,4251,34
50-80+,2020-04-03,4277,26
50-80+,2020-04-04,4319,42
50-80+,2020-04-05,4336,17
50-80+,2020-04-06,4351,15
50-80+,2020-04-07,4368,17
50-80+,2020-04-08,4390,22
50-80+,2020-04-09,4397,7
50-80+,2020-04-10,4408,11
50-80+,2020-04-11,4422,14
50-80+,2020-04-12,4432,10
50-80+,2020-04-13,4441,9
50-80+,2020-04-14,4450,9
50-80+,2020-04-15,4456,6
50-80+,2020-04-16,4464,8
50-80+,2020-04-17,4468,4
50-80+,2020-04-18,4473,5
50-80+,2020-04-19,4475,2
50-80+,2020-04-20,4478,3
50-80+,2020-04-21,4483,5
50-80+,2020-04-22,4485,2
50-80+,2020-04-23,4488,3
50-80+,2020-04-24,4491,3
50-80+,2020-04-25,4493,2
50-80+,2020-04-26,4493,0
50-80+,2020-04-27,4493,0
50-80+,2020-04-28,4497,4
50-80+,2020-04-29,4498,1
50-80+,2020-04-30,4498,0
50-80+,2020-05-01,4499,1
50-80+,2020-05-02,4500,1
50-80+,2020-05-03,4505,5
50-80+,2020-05-04,4507,2
50-80+,2020-05-05,4508,1
50-80+,2020-05-06,4509,1
50-80+,2020-05-07,4509,0
50-80+,2020-05-08,4510,1
50-80+,2020-05-09,4511,1
50-80+,2020-05-10,4516,5
50-80+,2020-05-11,4517,1
50-80+,2020-05-12,4521,4
50-80+,2020-05-13,4525,4
50-80+,2020-05-14,4525,0
50-80+,2020-05-15,4530,5
50-80+,2020-05-16,4534,4
50-80+,2020-05-17,4536,2
50-80+,2020-05-18,4538,2
50-80+,2020-05-19,4545,7
50-80+,2020-05-20,4548,3
50-80+,2020-05-21,4548,0
50-80+,2020-05-22,4551,3
50-80+,2020-05-23,4564,13
50-80+,2020-05-24,4572,8
50-80+,2020-05-25,4579,7
50-80+,2020-05-26,4586,7
50-80+,2020-05-27,4604,18
50-80+,2020-05-28,4622,18
50-80+,2020-05-29,4642,20
50-80+,2020-05-30,4660,18
50-80+,2020-05-31,4667,7
50-80+,2020-06-01,4687,20
50-80+,2020-06-02,4713,26
50-80+,2020-06-03,4743,30
50-80+,2020-06-04,4770,27
50-80+,2020-06-05,4796,26
50-80+,2020-06-06,4824,28
50-80+,2020-06-07,4857,33
50-80+,2020-06-08,4880,23
50-80+,2020-06-09,4909,29
50-80+,2020-06-10,4940,31
50-80+,2020-06-11,4961,21
50-80+,2020-06-12,4993,32
50-80+,2020-06-13,5026,33
50-80+,2020-06-14,5043,17
50-80+,2020-06-15,5057,14
50-80+,2020-06-16,5077,20
50-80+,2020-06-17,5093,16
50-80+,2020-06-18,5130,37
50-80+,2020-06-19,5157,27
50-80+,2020-06-20,5188,31
50-80+,2020-06-21,5215,27
50-80+,2020-06-22,5223,8
50-80+,2020-06-23,5243,20
50-80+,2020-06-24,5262,19
50-80+,2020-06-25,5275,13
50-80+,2020-06-26,5289,14
50-80+,2020-06-27,5307,18
50-80+,2020-06-28,5330,23
50-80+,2020-06-29,5348,18
50-80+,2020-06-30,5360,12
50-80+,2020-07-01,5391,31
50-80+,2020-07-02,5425,34
50-80+,2020-07-03,5449,24
50-80+,2020-07-04,5471,22
50-80+,2020-07-05,5498,27
50-80+,2020-07-06,5517,19
50-80+,2020-07-07,5533,16
50-80+,2020-07-08,5554,21
50-80+,2020-07-09,5569,15
50-80+,2020-07-10,5584,15
50-80+,2020-07-11,5602,18
50-80+,2020-07-12,5616,14
50-80+,2020-07-13,5629,13
50-80+,2020-07-14,5644,15
50-80+,2020-07-15,5660,16
50-80+,2020-07-16,5676,16
50-80+,2020-07-17,5695,19
50-80+,2020-07-18,5703,8
50-80+,2020-07-19,5716,13
50-80+,2020-07-20,5720,4
50-80+,2020-07-21,5740,20
50-80+,2020-07-22,5770,30
50-80+,2020-07-23,5795,25
50-80+,2020-07-24,5820,25
50-80+,2020-07-25,5846,26
50-80+,2020-07-26,5872,26
50-80+,2020-07-27,5879,7
50-80+,2020-07-28,5888,9
50-80+,2020-07-29,5902,14
50-80+,2020-07-30,5908,6
50-80+,2020-07-31,5917,9
50-80+,2020-08-01,5931,14
50-80+,2020-08-02,5939,8
50-80+,2020-08-03,5949,10
50-80+,2020-08-04,5957,8
50-80+,2020-08-05,5969,12
50-80+,2020-08-06,5989,20
50-80+,2020-08-07,5996,7
50-80+,2020-08-08,6022,26
50-80+,2020-08-09,6038,16
50-80+,2020-08-10,6056,18
50-80+,2020-08-11,6075,19
50-80+,2020-08-12,6094,19
50-80+,2020-08-13,6114,20
50-80+,2020-08-14,6156,42
50-80+,2020-08-15,6232,76
50-80+,2020-08-16,6383,151
50-80+,2020-08-17,6490,107
50-80+,2020-08-18,6642,152
50-80+,2020-08-19,6809,167
50-80+,2020-08-20,6952,143
50-80+,2020-08-21,7127,175
50-80+,2020-08-22,7286,159
50-80+,2020-08-23,7495,209
50-80+,2020-08-24,7635,140
50-80+,2020-08-25,7777,142
50-80+,2020-08-26,7945,168
50-80+,2020-08-27,8179,234
50-80+,2020-08-28,8383,204
50-80+,2020-08-29,8558,175
50-80+,2020-08-30,8714,156
50-80+,2020-08-31,8855,141
50-80+,2020-09-01,8986,131
50-80+,2020-09-02,9139,153
50-80+,2020-09-03,9248,109
50-80+,2020-09-04,9362,114
50-80+,2020-09-05,9469,107
50-80+,2020-09-06,9566,97
50-80+,2020-09-07,9631,65
50-80+,2020-09-08,9708,77
50-80+,2020-09-09,9811,103
50-80+,2020-09-10,9908,97
50-80+,2020-09-11,10015,107
50-80+,2020-09-12,10096,81
50-80+,2020-09-13,10161,65
50-80+,2020-09-14,10226,65
50-80+,2020-09-15,10282,56
50-80+,2020-09-16,10351,69
50-80+,2020-09-17,10435,84
50-80+,2020-09-18,10500,65
50-80+,2020-09-19,10582,82
50-80+,2020-09-20,10628,46
50-80+,2020-09-21,10659,31
50-80+,2020-09-22,10691,32
50-80+,2020-09-23,10760,69
50-80+,2020-09-24,10834,74
50-80+,2020-09-25,10899,65
50-80+,2020-09-26,10934,35
50-80+,2020-09-27,10983,49
50-80+,2020-09-28,11012,29
50-80+,2020-09-29,11024,12
50-80+,2020-09-30,11079,55
50-80+,2020-10-01,11116,37
50-80+,2020-10-02,11148,32
50-80+,2020-10-03,11191,43
50-80+,2020-10-04,11225,34
50-80+,2020-10-05,11261,36
50-80+,2020-10-06,11287,26
50-80+,2020-10-07,11367,80
50-80+,2020-10-08,11403,36
50-80+,2020-10-09,11424,21
50-80+,2020-10-10,11468,44
50-80+,2020-10-11,11489,21
50-80+,2020-10-12,11523,34
50-80+,2020-10-13,11552,29
50-80+,2020-10-14,11573,21
50-80+,2020-10-15,11637,64
50-80+,2020-10-16,11656,19
50-80+,2020-10-17,11699,43
50-80+,2020-10-18,11744,45
50-80+,2020-10-19,11780,36
50-80+,2020-10-20,11802,22
50-80+,2020-10-21,11846,44
50-80+,2020-10-22,11915,69
50-80+,2020-10-23,12008,93
50-80+,2020-10-24,12046,38
50-80+,2020-10-25,12066,20
50-80+,2020-10-26,12106,40
50-80+,2020-10-27,12150,44
50-80+,2020-10-28,12191,41
50-80+,2020-10-29,12247,56
50-80+,2020-10-30,12292,45
50-80+,2020-10-31,12346,54
50-80+,2020-11-01,12383,37
50-80+,2020-11-02,12423,40
50-80+,2020-11-03,12454,31
50-80+,2020-11-04,12512,58
50-80+,2020-11-05,12564,52
50-80+,2020-11-06,12619,55
50-80+,2020-11-07,12656,37
50-80+,2020-11-08,12735,79
50-80+,2020-11-09,12793,58
50-80+,2020-11-10,12836,43
50-80+,2020-11-11,12920,84
50-80+,2020-11-12,12973,53
50-80+,2020-11-13,13077,104
50-80+,2020-11-14,13159,82
50-80+,2020-11-15,13266,107
50-80+,2020-11-16,13378,112
50-80+,2020-11-17,13486,108
50-80+,2020-11-18,13618,132
50-80+,2020-11-19,13743,125
50-80+,2020-11-20,13881,138
50-80+,2020-11-21,14003,122
50-80+,2020-11-22,14120,117
50-80+,2020-11-23,14216,96
50-80+,2020-11-24,14353,137
50-80+,2020-11-25,14505,152
50-80+,2020-11-26,14709,204
50-80+,2020-11-27,14946,237
50-80+,2020-11-28,15152,206
50-80+,2020-11-29,15320,168
50-80+,2020-11-30,15516,196
50-80+,2020-12-01,15694,178
50-80+,2020-12-02,15890,196
50-80+,2020-12-03,16093,203
50-80+,2020-12-04,16380,287
50-80+,2020-12-05,16642,262
50-80+,2020-12-06,16986,344
50-80+,2020-12-07,17324,338
50-80+,2020-12-08,17632,308
50-80+,2020-12-09,17981,349
50-80+,2020-12-10,18288,307
50-80+,2020-12-11,18631,343
50-80+,2020-12-12,19090,459
50-80+,2020-12-13,19641,551
50-80+,2020-12-14,19981,340
50-80+,2020-12-15,20430,449
50-80+,2020-12-16,20995,565
50-80+,2020-12-17,21526,531
50-80+,2020-12-18,22096,570
50-80+,2020-12-19,22647,551
50-80+,2020-12-20,23193,546
50-80+,2020-12-21,23689,496
50-80+,2020-12-22,24136,447
50-80+,2020-12-23,24749,613
50-80+,2020-12-24,25232,483
50-80+,2020-12-25,25835,603
50-80+,2020-12-26,26385,550
50-80+,2020-12-27,26857,472
50-80+,2020-12-28,27269,412
50-80+,2020-12-29,27756,487
50-80+,2020-12-30,28319,563
50-80+,2020-12-31,28811,492
50-80+,2021-01-01,29295,484
50-80+,2021-01-02,29687,392
50-80+,2021-01-03,30019,332
50-80+,2021-01-04,30509,490
50-80+,2021-01-05,30818,309
50-80+,2021-01-06,31228,410
50-80+,2021-01-07,31604,376
50-80+,2021-01-08,31939,335
50-80+,2021-01-09,32218,279
50-80+,2021-01-10,32527,309
50-80+,2021-01-11,32761,234
50-80+,2021-01-12,33011,250
50-80+,2021-01-13,33291,280
50-80+,2021-01-14,33531,240
50-80+,2021-01-15,33752,221
50-80+,2021-01-16,34034,282
50-80+,2021-01-17,34268,234
50-80+,2021-01-18,34442,174
50-80+,2021-01-19,34597,155
50-80+,2021-01-20,34786,189
50-80+,2021-01-21,34996,210
50-80+,2021-01-22,35154,158
50-80+,2021-01-23,35367,213
50-80+,2021-01-24,35545,178
50-80+,2021-01-25,35698,153
50-80+,2021-01-26,35845,147
50-80+,2021-01-27,36041,196
50-80+,2021-01-28,36256,215
50-80+,2021-01-29,36490,234
50-80+,2021-01-30,36707,217
50-80+,2021-01-31,36884,177
50-80+,2021-02-01,37020,136
50-80+,2021-02-02,37178,158
50-80+,2021-02-03,37351,173
50-80+,2021-02-04,37558,207
50-80+,2021-02-05,37737,179
50-80+,2021-02-06,37920,183
50-80+,2021-02-07,38102,182
50-80+,2021-02-08,38244,142
50-80+,2021-02-09,38380,136
50-80+,2021-02-10,38558,178
50-80+,2021-02-11,38810,252
50-80+,2021-02-12,39008,198
50-80+,2021-02-13,39172,164
50-80+,2021-02-14,39327,155
50-80+,2021-02-15,39484,157
50-80+,2021-02-16,39666,182
50-80+,2021-02-17,39913,247
50-80+,2021-02-18,40180,267
50-80+,2021-02-19,40414,234
50-80+,2021-02-20,40597,183
50-80+,2021-02-21,40786,189
50-80+,2021-02-22,40933,147
50-80+,2021-02-23,41085,152
50-80+,2021-02-24,41268,183
50-80+,2021-02-25,41412,144
50-80+,2021-02-26,41584,172
50-80+,2021-02-27,41745,161
50-80+,2021-02-28,41912,167
50-80+,2021-03-01,42060,148
50-80+,2021-03-02,42185,125
50-80+,2021-03-03,42333,148
50-80+,2021-03-04,42483,150
50-80+,2021-03-05,42651,168
50-80+,2021-03-06,42806,155
50-80+,2021-03-07,42978,172
50-80+,2021-03-08,43116,138
50-80+,2021-03-09,43305,189
50-80+,2021-03-10,43489,184
50-80+,2021-03-11,43677,188
50-80+,2021-03-12,43884,207
50-80+,2021-03-13,44131,247
50-80+,2021-03-14,44320,189
50-80+,2021-03-15,44481,161
50-80+,2021-03-16,44660,179
