Multiplier,Simulated Total Peak,Absolute Error
0.0,1156.2428989506075,3447.6051010493925
0.05,1156.2428989506075,3447.6051010493925
0.1,1156.2428989506075,3447.6051010493925
0.15000000000000002,1156.2428989506075,3447.6051010493925
0.2,1156.2428989506075,3447.6051010493925
0.25,1156.2428989506075,3447.6051010493925
0.30000000000000004,1476.6127187556344,3127.2352812443655
0.35000000000000003,2138.4779282371273,2465.3700717628726
0.4,3114.4467124063767,1489.4012875936232
0.45,4558.720573531857,45.12742646814331
0.5,6702.7209135581115,2098.8729135581116
0.55,9894.20112980713,5290.35312980713
0.6000000000000001,14656.267152119217,10052.419152119217
0.65,21776.41531612008,17172.567316120083
0.7000000000000001,32440.744454287717,27836.896454287715
0.75,48435.94546495724,43832.097464957245
0.8,72452.49190445401,67848.64390445402
0.8500000000000001,108537.7950577065,103933.94705770651
0.9,162768.97229363397,158165.12429363397
0.9500000000000001,244241.24355297018,239637.39555297018
1.0,366496.43053875293,361892.58253875293
