confirmed_cases,confirmed_case_rate,critical_rate,deaths,death_rate,age_group,date,date
0,0.00,,,,50-59,2020-01-20,2020-01-20
0,0.00,,,,50-59,2020-01-21,2020-01-21
0,0.00,,,,50-59,2020-01-22,2020-01-22
0,0.00,,,,50-59,2020-01-23,2020-01-23
1,50.00,,,,50-59,2020-01-24,2020-01-24
1,50.00,,,,50-59,2020-01-25,2020-01-25
2,66.67,,,,50-59,2020-01-26,2020-01-26
3,75.00,,,,50-59,2020-01-27,2020-01-27
3,75.00,,,,50-59,2020-01-28,2020-01-28
3,75.00,,,,50-59,2020-01-29,2020-01-29
4,57.14,,,,50-59,2020-01-30,2020-01-30
5,45.45,,,,50-59,2020-01-31,2020-01-31
5,41.67,,,,50-59,2020-02-01,2020-02-01
5,33.33,,,,50-59,2020-02-02,2020-02-02
5,33.33,,,,50-59,2020-02-03,2020-02-03
5,31.25,,,,50-59,2020-02-04,2020-02-04
6,28.57,,,,50-59,2020-02-05,2020-02-05
7,29.17,,,,50-59,2020-02-06,2020-02-06
7,29.17,,,,50-59,2020-02-07,2020-02-07
7,29.17,,,,50-59,2020-02-08,2020-02-08
8,29.63,,,,50-59,2020-02-09,2020-02-09
8,28.57,,,,50-59,2020-02-10,2020-02-10
8,28.57,,,,50-59,2020-02-11,2020-02-11
8,28.57,,,,50-59,2020-02-12,2020-02-12
8,28.57,,,,50-59,2020-02-13,2020-02-13
8,28.57,,,,50-59,2020-02-14,2020-02-14
8,28.57,,,,50-59,2020-02-15,2020-02-15
8,26.67,,,,50-59,2020-02-16,2020-02-16
8,26.67,,,,50-59,2020-02-17,2020-02-17
8,25.00,,,,50-59,2020-02-18,2020-02-18
19,28.79,,,,50-59,2020-02-19,2020-02-19
23,28.05,0.00,0,0.00,50-59,2020-02-20,2020-02-20
39,25.00,0.00,0,0.00,50-59,2020-02-21,2020-02-21
98,28.32,1.02,1,33.33,50-59,2020-02-22,2020-02-22
149,26.80,0.67,1,33.33,50-59,2020-02-23,2020-02-23
198,25.95,2.02,4,57.14,50-59,2020-02-24,2020-02-24
224,25.08,1.79,4,50.00,50-59,2020-02-25,2020-02-25
267,23.30,1.87,5,45.45,50-59,2020-02-26,2020-02-26
347,21.76,1.44,5,41.67,50-59,2020-02-27,2020-02-27
434,21.46,1.15,5,38.46,50-59,2020-02-28,2020-02-28
583,19.89,0.86,5,31.25,50-59,2020-02-29,2020-02-29
686,19.46,0.73,5,29.41,50-59,2020-03-01,2020-03-01
832,19.75,0.60,5,21.74,50-59,2020-03-02,2020-03-02
950,19.74,0.53,5,17.86,50-59,2020-03-03,2020-03-03
1050,19.71,0.48,5,15.63,50-59,2020-03-04,2020-03-04
1124,19.49,0.44,5,14.29,50-59,2020-03-05,2020-03-05
1213,19.30,0.41,5,11.90,50-59,2020-03-06,2020-03-06
1283,18.96,0.39,5,11.36,50-59,2020-03-07,2020-03-07
1347,18.88,0.37,5,10.00,50-59,2020-03-08,2020-03-08
1389,18.82,0.36,5,9.80,50-59,2020-03-09,2020-03-09
1415,18.83,0.35,5,9.26,50-59,2020-03-10,2020-03-10
