Time,S2,I2,R2
1,15075,986,126
2,15442,886,176
3,15798,796,220
4,16141,717,260
5,16476,642,294
6,16791,584,326
7,17105,516,347
8,17408,474,368
9,17705,447,386
10,17981,395,401
11,18264,353,415
12,18529,292,425
13,18800,268,430
14,19043,260,440
15,19298,218,440
