,S_0-19,I_0-19,R_0-19,V_0-19,S_20-49,I_20-49,R_20-49,V_20-49,S_50-80+,I_50-80+,R_50-80+,V_50-80+,S_total,I_total,R_total,V_total
2020-02-08,6246073.0,0.0,0.0,0.0,31530492.07616448,9.719186065064664,5.20464945393952,0.0,13972152.069674766,5.320630275249913,2.6096949587397535,0.0,51748717.14583925,15.039816340314577,7.814344412679273,0.0
2020-02-09,6246073.0,0.0,0.0,0.0,31530491.102187727,9.912493621664296,5.985318650070189,0.0,13972150.082723241,7.0652400220379175,2.85203673715805,0.0,51748714.18491097,16.977733643702216,8.83735538722824,0.0
2020-02-10,6246073.0,0.0,0.0,0.0,31530490.13211432,10.08975665106616,6.778129027417975,0.0,13972150.096983425,6.726108500980097,3.17690807453008,0.0,51748713.22909775,16.815865152046257,9.955037101948054,0.0
2020-02-11,6246073.0,0.0,0.0,0.0,31530490.166004967,9.252306849027669,7.581688184319376,0.0,13972150.112867966,6.403255292933053,3.4838767422044743,0.0,51748713.27887294,15.655562141960722,11.065564926523852,0.0
2020-02-12,6246073.0,0.0,0.0,0.0,31530490.20391341,8.484365380558373,8.311721211867075,0.0,13972150.13028735,6.0958990388722665,3.7738136125542385,0.0,51748713.334200755,14.58026441943064,12.085534824421314,0.0
2020-02-13,6246073.0,0.0,0.0,0.0,31530490.245472014,7.780163053972028,8.974364932394083,0.0,13972150.149156418,5.803295885006397,4.047547698357336,0.0,51748713.394628435,13.583458938978424,13.02191263075142,0.0
2020-02-14,6246073.0,0.0,0.0,0.0,31530490.29034384,7.134409520492349,9.575246641211791,0.0,13972150.169394156,5.52473768252609,4.305868162345857,0.0,51748713.459737994,12.659147203018438,13.881114803557647,0.0
2020-02-15,6246073.0,0.0,0.0,0.0,31530490.33822007,6.542253530291484,10.119526398206597,0.0,13972150.190923497,5.259550273764837,4.54952623029538,0.0,51748713.52914357,11.801803804056322,14.669052628501976,0.0
2020-02-16,6246073.0,0.0,0.0,0.0,31530490.3888177,5.999246487277291,10.611935809229756,0.0,13972148.213671127,7.007091860624125,4.779237012284616,0.0,51748711.60248882,13.006338347901416,15.391172821514372,0.0
2020-02-17,6246073.0,0.0,0.0,0.0,31530490.44187738,5.501309028833275,11.056813588627623,0.0,13972148.237567313,6.670751451314167,5.091681236533152,0.0,51748711.67944469,12.172060480147442,16.148494825160775,0.0
2020-02-18,6246072.0,1.0,0.0,0.0,31530490.497161448,5.044700379440114,11.458138170077648,0.0,13972147.26302572,7.350555381651087,5.386418900013566,0.0,51748709.760187164,13.3952557610912,16.844557070091213,0.0
2020-02-19,6246072.0,0.875,0.125,0.0,31530475.55445214,19.625990247946586,11.81955761072079,0.0,13972128.289957814,25.997728723331836,5.71231346383275,0.0,51748675.84440995,46.49871897127842,17.65687107455354,0.0
2020-02-20,6246071.000625,1.765625,0.23375,0.0,31530466.61354993,26.99703305736702,13.389417013246751,0.0,13972122.318519382,30.74983774461191,6.931642875233514,0.0,51748659.932694316,59.51249580197893,20.554809888480264,0.0
2020-02-21,6246070.001793751,2.544921875,0.453284375,0.0,31530426.680497013,64.75627931360556,15.56322367194198,0.0,13972089.353177596,62.27384553287054,8.372976872598718,0.0,51748586.035468355,129.5750467214761,24.3894849195407,0.0
2020-02-22,6246065.0040601725,7.226806640625,0.7691331874999999,0.0,31530355.75831313,130.3815081305763,20.860178736611534,0.0,13971975.39504248,173.28470094729278,11.32025657381351,0.0,51748396.157415785,310.8930157184941,32.94956849792504,0.0
2020-02-23,6246060.007905838,11.323455810546875,1.6686383516406251,0.0,31530244.862614024,230.55984295573847,31.57754301776631,0.0,13971881.451643763,258.9670353018227,19.581320936414496,0.0,51748186.32216363,500.85033406810805,52.827502305821426,0.0
