Date,S,I,R,V
2020-01-20,31530507.0,0.0,0.0,0.0
2020-01-21,31530507.0,0.0,0.0,0.0
2020-01-22,31530507.0,0.0,0.0,0.0
2020-01-23,31530507.0,0.0,0.0,0.0
2020-01-24,31530507.0,0.0,0.0,0.0
2020-01-25,31530507.0,0.0,0.0,0.0
2020-01-26,31530507.0,0.0,0.0,0.0
2020-01-27,31530507.0,0.0,0.0,0.0
2020-01-28,31530507.0,0.0,0.0,0.0
2020-01-29,31530507.0,0.0,0.0,0.0
2020-01-30,31530505.0,2.0,0.0,0.0
2020-01-31,31530503.0,3.834,0.166,0.0
2020-02-01,31530502.00083,4.515777999999999,0.48339200000000004,0.0
2020-02-02,31530499.00324696,7.140968425999999,0.8557846139999999,0.0
2020-02-03,31530499.007525884,6.548268046641999,1.444206070288,0.0
2020-02-04,31530498.014746916,7.004761798770713,1.980491287807846,0.0
2020-02-05,31530494.02464937,10.423366569472742,2.551984060666776,0.0
2020-02-06,31530492.03740929,11.558227144206505,3.40436356562968,0.0
2020-02-07,31530492.054431107,10.598894291237364,4.346674600770672,0.0
2020-02-08,31530492.07616448,9.719186065064664,5.20464945393952,0.0
2020-02-09,31530491.102187727,9.912493621664296,5.985318650070189,0.0
2020-02-10,31530490.13211432,10.08975665106616,6.778129027417975,0.0
2020-02-11,31530490.166004967,9.252306849027669,7.581688184319376,0.0
2020-02-12,31530490.20391341,8.484365380558373,8.311721211867075,0.0
2020-02-13,31530490.245472014,7.780163053972028,8.974364932394083,0.0
2020-02-14,31530490.29034384,7.134409520492349,9.575246641211791,0.0
2020-02-15,31530490.33822007,6.542253530291484,10.119526398206597,0.0
2020-02-16,31530490.3888177,5.999246487277291,10.611935809229756,0.0
2020-02-17,31530490.44187738,5.501309028833275,11.056813588627623,0.0
2020-02-18,31530490.497161448,5.044700379440114,11.458138170077648,0.0
2020-02-19,31530475.55445214,19.625990247946586,11.81955761072079,0.0
2020-02-20,31530466.61354993,26.99703305736702,13.389417013246751,0.0
2020-02-21,31530426.680497013,64.75627931360556,15.56322367194198,0.0
2020-02-22,31530355.75831313,130.3815081305763,20.860178736611534,0.0
2020-02-23,31530244.862614024,230.55984295573847,31.57754301776631,0.0
2020-02-24,31530133.02050174,323.4233759904122,50.556122268003776,0.0
2020-02-25,31530056.273282353,373.579235783208,77.14748186386798,0.0
2020-02-26,31529914.65901976,484.5721592132017,107.76882102455491,0.0
2020-02-27,31529640.197863866,719.352669998506,147.4494661341279,0.0
2020-02-28,31529401.935111195,898.64639838863,206.41849041333327,0.0
2020-02-29,31528858.967203647,1368.0587473223738,279.97404902752294,0.0
2020-03-01,31528513.367073894,1601.509871294617,392.1230548101424,0.0
2020-03-02,31528139.327689167,1844.5845519771638,523.0877588535449,0.0
2020-03-03,31527808.94312796,2024.4840341630593,673.5728378733818,0.0
2020-03-04,31527522.310992148,2146.451859327525,838.2371485195489,0.0
2020-03-05,31527291.50217789,2203.2963550033405,1012.2014671011357,0.0
2020-03-06,31527072.563185226,2244.4227575380633,1190.0140572309074,0.0
2020-03-07,31526837.51325551,2299.135668662404,1370.351075820412,0.0
2020-03-08,31526675.36501089,2277.3074081634245,1554.3275809402894,0.0
2020-03-09,31526575.136648796,2196.2908932858604,1735.5724579131522,0.0
2020-03-10,31526526.814511087,2070.998749143134,1909.1867397663127,0.0
2020-03-11,31526444.360444784,1991.1058529642537,2071.5337022463614,0.0
2020-03-12,31526407.718113296,1872.8440671682206,2226.437819531163,0.0
2020-03-13,31526377.850302394,1758.3980095932584,2370.751688008469,0.0
2020-03-14,31526348.704060834,1653.450974797018,2504.8449643646672,0.0
2020-03-15,31526331.228285655,1546.2145438888656,2629.5571704509966,0.0
2020-03-16,31526318.37607151,1443.8787367460898,2744.745191741518,0.0
2020-03-17,31526291.09979747,1365.0368015961644,2850.8634009327357,0.0
2020-03-18,31526269.354114473,1287.7387470636827,2949.9071384605536,0.0
2020-03-19,31526245.103650164,1219.856431057397,3042.0399187745365,0.0
2020-03-20,31526234.31384976,1144.608347279633,3128.0778029584276,0.0
2020-03-21,31526217.954238772,1081.6058544554235,3207.439906767845,0.0
2020-03-22,31526189.991438307,1035.8325685356233,3281.175993153806,0.0
2020-03-23,31526170.397318274,985.8584653471665,3350.7442163764936,0.0
2020-03-24,31526156.151039355,935.0322127233517,3415.8167479184262,0.0
2020-03-25,31526104.230123095,926.4245390673135,3476.345337834872,0.0
2020-03-26,31526068.611849785,902.5313023247265,3535.856847888285,0.0
2020-03-27,31526053.291134026,860.6212042317742,3593.0876617417957,0.0
2020-03-28,31525996.256572336,864.1896442805369,3646.553783384324,0.0
2020-03-29,31525950.48934125,856.4619038052523,3700.048754942687,0.0
2020-03-30,31525926.989585027,827.3755657894163,3752.6348491838094,0.0
2020-03-31,31525894.752759274,809.7033938288948,3802.543846898412,0.0
2020-04-01,31525860.76547851,795.4980121410965,3850.7365093517183,0.0
2020-04-02,31525831.019161057,778.4716771333855,3897.5091618126708,0.0
2020-04-03,31525798.506706867,765.8585279313145,3942.6347652056784,0.0
2020-04-04,31525769.219880693,751.2922701130153,3986.4878491979493,0.0
2020-04-05,31525732.152319938,745.935011693635,4028.91266837134,0.0
2020-04-06,31525729.29688328,707.0224057230633,4070.680711000055,0.0
2020-04-07,31525721.650286835,676.3395460480491,4109.010167120069,0.0
2020-04-08,31525715.19533767,647.2033637260611,4144.601298606456,0.0
2020-04-09,31525709.918344166,619.485484536798,4177.596171302686,0.0
2020-04-10,31525716.806325022,582.0681893202438,4208.125485662727,0.0
2020-04-11,31525727.84695245,543.7565296066637,4235.396517947995,0.0
2020-04-12,31525730.02393504,517.6247376493105,4259.351327315608,0.0
2020-04-13,31525738.320691675,487.66188442441774,4281.0174239039225,0.0
2020-04-14,31525744.725778796,462.18594801719104,4300.08827319163,0.0
2020-04-15,31525749.22622016,440.8245143317642,4316.949265511099,0.0
2020-04-16,31525762.810966488,412.23607964222776,4331.952953873079,0.0
2020-04-17,31525771.47073126,391.0204850319229,4344.508783714019,0.0
2020-04-18,31525782.193275176,369.56578477427325,4355.240940053098,0.0
2020-04-19,31525799.969479878,342.8918246380086,4364.138695489098,0.0
2020-04-20,31525814.790173355,321.4318031930539,4370.778023456607,0.0
2020-04-21,31525834.644063473,296.7529635280304,4375.602973004347,0.0
2020-04-22,31525848.52207834,280.1224675552039,4378.355454112152,0.0
2020-04-23,31525866.41385561,260.87230274812197,4379.713841648673,0.0
2020-04-24,31525886.312424816,241.21990162002785,4379.467673568524,0.0
2020-04-25,31525902.209763184,227.19864978556555,4377.591587035144,0.0
2020-04-26,31525915.09772112,217.34116185336362,4374.56111703217,0.0
2020-04-27,31525928.970526703,207.30184541953443,4370.727627880839,0.0
2020-04-28,31525942.82416484,198.09579224971307,4366.080042911256,0.0
2020-04-29,31525956.654565055,189.65384149298688,4360.691593453426,0.0
2020-04-30,31525974.458023023,177.91257264906898,4354.629404330078,0.0
2020-05-01,31525988.231170043,171.14582911919626,4347.6230008383,0.0
2020-05-02,31526004.96928505,161.94072530230298,4340.089989651002,0.0
2020-05-03,31526019.669734996,155.49964510221184,4331.830619902838,0.0
2020-05-04,31526035.328888096,148.59317455872826,4323.0779373468085,0.0
2020-05-05,31526054.944277782,138.25994107035382,4313.795781148448,0.0
2020-05-06,31526075.513256688,127.78436596151445,4303.702377351546,0.0
2020-05-07,31526094.031768575,120.17826358670875,4292.789967839594,0.0
2020-05-08,31526105.495718416,120.2034677090119,4281.300813878093,0.0
2020-05-09,31526111.902222484,125.22657988916392,4269.871197628551,0.0
2020-05-10,31526107.251578473,140.83277375836332,4258.9156477712095,0.0
2020-05-11,31526095.546156712,162.14365353641915,4249.310189754297,0.0
2020-05-12,31526098.79270766,166.68573029289635,4241.521562049049,0.0
2020-05-13,31526100.00031547,172.85081467858595,4234.148869853114,0.0
2020-05-14,31526103.171059817,176.50419706026332,4227.324743122171,0.0
2020-05-15,31526107.30768353,178.85434870426147,4220.837967762562,0.0
2020-05-16,31526117.41187337,175.00943776180776,4214.578688866202,0.0
2020-05-17,31526128.484766815,170.4836544275777,4208.031578756101,0.0
2020-05-18,31526137.52492471,168.33351111008875,4201.141564179809,0.0
2020-05-19,31526153.530632533,159.36182968795137,4194.1075377810475,0.0
2020-05-20,31526152.50117022,168.13479782385141,4186.364031956243,0.0
2020-05-21,31526165.432990383,162.17960960447175,4179.387400015841,0.0
2020-05-22,31526172.329927385,162.7187020073006,4171.951370612933,0.0
2020-05-23,31526184.18968424,158.21304974069466,4164.597266026474,0.0
2020-05-24,31526190.01267057,160.081366612217,4156.90596282482,0.0
2020-05-25,31526202.79720038,154.794613183403,4149.40818643951,0.0
2020-05-26,31526213.544241313,151.94666028918053,4141.509098401535,0.0
2020-05-27,31526217.251786806,156.33508748517855,4133.41312571353,0.0
2020-05-28,31526182.918852434,198.35927522390872,4125.721872346232,0.0
2020-05-29,31526172.547461797,212.8954553803243,4121.557082828085,0.0
2020-05-30,31526178.15524721,210.2251325837574,4118.619620210512,0.0
2020-05-31,31526178.74834531,212.7764465793055,4115.475208113911,0.0
2020-06-01,31526187.325721353,207.11600151322315,4112.558277139425,0.0
2020-06-02,31526197.888512738,199.92537338762563,4109.186113879326,0.0
2020-06-03,31526202.434443306,199.3315673964527,4105.233989301102,0.0
2020-06-04,31526212.960613254,192.78704730254714,4101.252339448502,0.0
2020-06-05,31526222.466874953,187.78572237643573,4096.747402677371,0.0
2020-06-06,31526223.950611968,191.19950741919155,4091.849880621228,0.0
2020-06-07,31526227.40986137,192.32994830339865,4087.260190333914,0.0
