Time,S3,I3,R3
1,4400,964,53
2,4505,881,100
3,4615,797,145
4,4723,738,179
5,4835,670,212
6,4947,615,241
7,5066,544,277
8,5185,505,290
9,5310,450,309
10,5439,410,327
11,5543,384,342
12,5679,358,354
13,5808,331,365
14,5930,301,372
15,6067,266,382
