confirmed_cases,confirmed_case_rate,critical_rate,deaths,death_rate,age_group,date,date
40797,5.73,4.39,1790,27.62,70-79,2022-01-20,2022-01-20
40947,5.69,4.39,1799,27.67,70-79,2022-01-21,2022-01-21
41072,5.66,4.40,1807,27.68,70-79,2022-01-22,2022-01-22
41207,5.61,4.39,1809,27.66,70-79,2022-01-23,2022-01-23
41354,5.58,4.39,1814,27.63,70-79,2022-01-24,2022-01-24
41354,5.58,4.39,1814,27.63,70-79,2022-01-24,2022-01-24
41489,5.53,4.39,1821,27.64,70-79,2022-01-25,2022-01-25
41701,5.47,4.39,1831,27.66,70-79,2022-01-26,2022-01-26
41943,5.39,4.39,1840,27.65,70-79,2022-01-27,2022-01-27
42223,5.32,4.37,1844,27.61,70-79,2022-01-28,2022-01-28
42522,5.24,4.36,1852,27.59,70-79,2022-01-29,2022-01-29
42857,5.17,4.33,1857,27.58,70-79,2022-01-30,2022-01-30
43166,5.10,4.31,1860,27.54,70-79,2022-01-31,2022-01-31
43471,5.03,4.29,1863,27.51,70-79,2022-02-01,2022-02-01
43865,4.96,4.26,1867,27.51,70-79,2022-02-02,2022-02-02
44258,4.88,4.23,1873,27.50,70-79,2022-02-03,2022-02-03
44837,4.80,4,1877,27.46,70-79,2022-02-04,2022-02-04
45876,4.72,4.1,1879,27.40,70-79,2022-02-05,2022-02-05
47161,4.67,3.99,1882,27.38,70-79,2022-02-06,2022-02-06
48288,4.62,3.91,1884,27.41,70-79,2022-02-07,2022-02-07
49338,4.56,3.84,1894,27.36,70-79,2022-02-08,2022-02-08
50796,4.49,3.73,1895,27.29,70-79,2022-02-09,2022-02-09
52344,4.42,3.63,1900,27.29,70-79,2022-02-10,2022-02-10
53737,4.34,3.55,1907,27.20,70-79,2022-02-11,2022-02-11
55209,4.27,3.47,1913,27.15,70-79,2022-02-12,2022-02-12
56849,4.21,3.39,1925,27.19,70-79,2022-02-13,2022-02-13
58308,4,3.31,1932,27,70-79,2022-02-14,2022-02-14
59634,4,3.27,1948,27,70-79,2022-02-15,2022-02-15
62049,4,3.15,1955,27,70-79,2022-02-16,2022-02-16
64382,4,3.04,1960,27,70-79,2022-02-17,2022-02-17
67151,4,2.93,1967,27,70-79,2022-02-18,2022-02-18
70046,3.77,2.83,1980,26.92,70-79,2022-02-19,2022-02-19
73279,3.73,2.72,1991,26.89,70-79,2022-02-20,2022-02-20
76178,3.7,2.63,2002,26.87,70-79,2022-02-21,2022-02-21
78839,4,2.55,2012,27,70-79,2022-02-22,2022-02-22
83948,3.6,2.43,2038,26.79,70-79,2022-02-23,2022-02-23
89186,4,2,2054,27,70-79,2022-02-24,2022-02-24
94472,3.54,2.19,2071,26.61,70-79,2022-02-25,2022-02-25
100387,4,2,2096,27,70-79,2022-02-26,2022-02-26
106668,4,2,2109,27,70-79,2022-02-27,2022-02-27
111639,3.56,1.92,2141,26.57,70-79,2022-02-28,2022-02-28
116177,3.55,1.86,2165,26.50,70-79,2022-03-01,2022-03-01
124211,3.56,1.75,2179,26.36,70-79,2022-03-02,2022-03-02
131018,3.55,1.68,2206,26.28,70-79,2022-03-03,2022-03-03
140837,3.56,1.60,2255,26.28,70-79,2022-03-04,2022-03-04
150489,3.57,1.53,2299,26.14,70-79,2022-03-05,2022-03-05
161179,3.62,1.45,2330,26.01,70-79,2022-03-06,2022-03-06
170229,3.65,1.39,2358,25.92,70-79,2022-03-07,2022-03-07
177093,3.64,1.36,2403,25.89,70-79,2022-03-08,2022-03-08
191005,4,1,2431,26,70-79,2022-03-09,2022-03-09
205309,3.71,1.20,2463,25.53,70-79,2022-03-10,2022-03-10
215932,3.71,1.16,2512,25.44,70-79,2022-03-11,2022-03-11
232611,3.75,1.11,2583,25.46,70-79,2022-03-12,2022-03-12
249544,3.81,1.05,2628,25.28,70-79,2022-03-13,2022-03-13
263959,3.84,1.02,2684,25.33,70-79,2022-03-14,2022-03-14
277799,3.84,0.99,2742,25.18,70-79,2022-03-15,2022-03-15
295611,3.87,0.94,2776,25.12,70-79,2022-03-16,2022-03-16
326129,3.95,0.88,2870,25.00,70-79,2022-03-17,2022-03-17
346800,4.01,0.84,2930,24.87,70-79,2022-03-18,2022-03-18
366927,4.06,0.80,2996,24.76,70-79,2022-03-19,2022-03-19
366927,4.06,0.80,2996,24.76,70-79,2022-03-19,2022-03-19
385856,4.12,0.79,3066,24.67,70-79,2022-03-20,2022-03-20
395331,4.13,0.79,3126,24.50,70-79,2022-03-21,2022-03-21
410290,4.13,0.79,3223,24.53,70-79,2022-03-22,2022-03-22
435017,4.17,0.76,3286,24.46,70-79,2022-03-23,2022-03-23
454352,4.20,0.74,3380,24.31,70-79,2022-03-24,2022-03-24
471834,4.23,0.74,3475,24.31,70-79,2022-03-25,2022-03-25
490128,4.26,0.72,3530,24.15,70-79,2022-03-26,2022-03-26
508493,4.3,0.71,3598,24.15,70-79,2022-03-27,2022-03-27
517406,4.31,0.71,3657,24.08,70-79,2022-03-28,2022-03-28
533493,4.32,0.70,3712,24.07,70-79,2022-03-29,2022-03-29
556578,4.36,0.69,3816,24.07,70-79,2022-03-30,2022-03-30
573594,4.38,0.68,3902,24.04,70-79,2022-03-31,2022-03-31
589049,4.40,0.67,3974,23.95,70-79,2022-04-01,2022-04-01
604695,4,1,4034,24,70-79,2022-04-02,2022-04-02
619067,4,1,4094,24,70-79,2022-04-03,2022-04-03
625438,4.47,0.66,4142,23.73,70-79,2022-04-04,2022-04-04
625438,4.47,0.66,4142,23.73,70-79,2022-04-04,2022-04-04
638587,4.48,0.66,4192,23.73,70-79,2022-04-05,2022-04-05
655018,4.5,0.65,4265,23.65,70-79,2022-04-06,2022-04-06
667682,4.52,0.65,4334,23.58,70-79,2022-04-07,2022-04-07
679784,4.54,0.65,4404,23.48,70-79,2022-04-08,2022-04-08
691793,4.56,0.65,4479,23.46,70-79,2022-04-09,2022-04-09
702647,4.58,0.65,4558,23.47,70-79,2022-04-10,2022-04-10
707397,4.59,0.65,4612,23.44,70-79,2022-04-11,2022-04-11
718768,4.6,0.65,4649,23.42,70-79,2022-04-12,2022-04-12
730517,4.61,0.64,4691,23.42,70-79,2022-04-13,2022-04-13
739359,4.63,0.64,4756,23.37,70-79,2022-04-14,2022-04-14
747245,4.64,0.64,4817,23.37,70-79,2022-04-15,2022-04-15
754785,4.66,0.65,4870,23.31,70-79,2022-04-16,2022-04-16
761471,4.67,0.64,4907,23.26,70-79,2022-04-17,2022-04-17
763872,4.67,0.65,4942,23.28,70-79,2022-04-18,2022-04-18
771132,4.68,0.64,4972,23.28,70-79,2022-04-19,2022-04-19
778570,4.69,0.64,5000,23.23,70-79,2022-04-20,2022-04-20
784441,4.7,0.64,5032,23.22,70-79,2022-04-21,2022-04-21
789935,4.71,0.64,5081,23.23,70-79,2022-04-22,2022-04-22
795343,4.73,0.64,5115,23.22,70-79,2022-04-23,2022-04-23
800056,4.74,0.64,5137,23.21,70-79,2022-04-24,2022-04-24
801899,4.74,0.64,5158,23.19,70-79,2022-04-25,2022-04-25
806900,4.74,0.64,5173,23.17,70-79,2022-04-26,2022-04-26
812167,4.75,0.64,5198,23.14,70-79,2022-04-27,2022-04-27
815872,4.76,0.64,5224,23.13,70-79,2022-04-28,2022-04-28
819309,4.76,0.64,5256,23.13,70-79,2022-04-29,2022-04-29
822548,5,1,5274,23,70-79,2022-04-30,2022-04-30
825353,5,1,5286,23,70-79,2022-05-01,2022-05-01
826420,4.78,0.64,5296,23.07,70-79,2022-05-02,2022-05-02
829577,4.78,0.64,5304,23.05,70-79,2022-05-03,2022-05-03
832854,4.79,0.64,5312,23.02,70-79,2022-05-04,2022-05-04
835634,4.79,0.64,5325,22.99,70-79,2022-05-05,2022-05-05
837151,4.79,0.64,5338,23.00,70-79,2022-05-06,2022-05-06
839864,4.80,0.64,5358,23.01,70-79,2022-05-07,2022-05-07
842662,4.80,0.64,5379,23.03,70-79,2022-05-08,2022-05-08
843693,4.8,0.64,5384,23.01,70-79,2022-05-09,2022-05-09
846294,4.8,0.64,5395,22.99,70-79,2022-05-10,2022-05-10
848846,4.81,0.64,5397,22.97,70-79,2022-05-11,2022-05-11
850799,4.81,0.64,5411,22.97,70-79,2022-05-12,2022-05-12
852661,4.81,0.64,5427,22.99,70-79,2022-05-13,2022-05-13
854552,4.81,0.64,5438,22.98,70-79,2022-05-14,2022-05-14
856190,4.81,0.64,5456,23.01,70-79,2022-05-15,2022-05-15
856850,4.82,0.64,5465,23.02,70-79,2022-05-16,2022-05-16
858535,4.81,0.64,5470,23.01,70-79,2022-05-17,2022-05-17
860226,4.82,0.64,5481,23.03,70-79,2022-05-18,2022-05-18
861576,4.82,0.64,5492,23.03,70-79,2022-05-19,2022-05-19
862832,4.82,0.64,5504,23.04,70-79,2022-05-20,2022-05-20
864175,4.82,0.64,5509,23.04,70-79,2022-05-21,2022-05-21
865267,4.82,0.64,5522,23.04,70-79,2022-05-22,2022-05-22
865675,4.82,0.64,5530,23.05,70-79,2022-05-23,2022-05-23
866812,4.82,0.64,5537,23.07,70-79,2022-05-24,2022-05-24
868024,4.82,0.64,5542,23.06,70-79,2022-05-25,2022-05-25
