confirmed_cases,confirmed_case_rate,critical_rate,deaths,death_rate,age_group,date,date
37455,50.95,1.76,660,50.77,여성,2021-01-20,2021-01-20
13826,18.81,0.29,40,3.08,50-59,2021-01-20,2021-01-20
11577,15.75,1.31,152,11.69,60-69,2021-01-20,2021-01-20
2742,3.73,0.00,0,0.00,0-9,2021-01-20,2021-01-20
11348,15.44,0.00,0,0.00,20-29,2021-01-20,2021-01-20
4687,6.38,0.00,0,0.00,10-19,2021-01-20,2021-01-20
3669,4.99,20.11,738,56.77,80 이상,2021-01-20,2021-01-20
10541,14.34,0.09,9,0.69,40-49,2021-01-20,2021-01-20
9403,12.79,0.06,6,0.46,30-39,2021-01-20,2021-01-20
36052,49.05,1.78,640,49.23,남성,2021-01-20,2021-01-20
5714,7.77,6.21,355,27.31,70-79,2021-01-20,2021-01-20
9452,12.79,0.06,6,0.46,30-39,2021-01-21,2021-01-21
37672,50.97,1.77,666,50.61,여성,2021-01-21,2021-01-21
2757,3.73,0.00,0,0.00,0-9,2021-01-21,2021-01-21
3693,5.00,20.15,744,56.53,80 이상,2021-01-21,2021-01-21
36235,49.03,1.79,650,49.39,남성,2021-01-21,2021-01-21
4714,6.38,0.00,0,0.00,10-19,2021-01-21,2021-01-21
11638,15.75,1.34,156,11.85,60-69,2021-01-21,2021-01-21
13911,18.82,0.29,40,3.04,50-59,2021-01-21,2021-01-21
10594,14.33,0.08,9,0.68,40-49,2021-01-21,2021-01-21
11394,15.42,0.00,0,0.00,20-29,2021-01-21,2021-01-21
5754,7.79,6.27,361,27.43,70-79,2021-01-21,2021-01-21
11447,15.42,0.00,0,0.00,20-29,2021-01-22,2021-01-22
9496,12.79,0.06,6,0.45,30-39,2021-01-22,2021-01-22
5771,7.77,6.34,366,27.56,70-79,2021-01-22,2021-01-22
10646,14.34,0.08,9,0.68,40-49,2021-01-22,2021-01-22
37850,50.97,1.77,669,50.38,여성,2021-01-22,2021-01-22
36403,49.03,1.81,659,49.62,남성,2021-01-22,2021-01-22
4735,6.38,0.00,0,0.00,10-19,2021-01-22,2021-01-22
2775,3.74,0.00,0,0.00,0-9,2021-01-22,2021-01-22
11701,15.76,1.33,156,11.75,60-69,2021-01-22,2021-01-22
13976,18.82,0.29,41,3.09,50-59,2021-01-22,2021-01-22
3706,4.99,20.24,750,56.48,80 이상,2021-01-22,2021-01-22
11496,15.39,0.00,0,0.00,20-29,2021-01-23,2021-01-23
2796,3.74,0.00,0,0.00,0-9,2021-01-23,2021-01-23
9555,12.79,0.06,6,0.45,30-39,2021-01-23,2021-01-23
4765,6.38,0.00,0,0.00,10-19,2021-01-23,2021-01-23
36611,49.02,1.81,664,49.66,남성,2021-01-23,2021-01-23
11763,15.75,1.34,158,11.82,60-69,2021-01-23,2021-01-23
10705,14.33,0.09,10,0.75,40-49,2021-01-23,2021-01-23
5814,7.78,6.33,368,27.52,70-79,2021-01-23,2021-01-23
3729,4.99,20.22,754,56.39,80 이상,2021-01-23,2021-01-23
14061,18.83,0.29,41,3.07,50-59,2021-01-23,2021-01-23
38073,50.98,1.77,673,50.34,여성,2021-01-23,2021-01-23
10765,14.34,0.09,10,0.74,40-49,2021-01-24,2021-01-24
5835,7.77,6.38,372,27.58,70-79,2021-01-24,2021-01-24
3746,4.99,20.23,758,56.19,80 이상,2021-01-24,2021-01-24
2814,3.75,0.00,0,0.00,0-9,2021-01-24,2021-01-24
9605,12.79,0.06,6,0.44,30-39,2021-01-24,2021-01-24
11564,15.40,0.00,0,0.00,20-29,2021-01-24,2021-01-24
38267,50.97,1.78,680,50.41,여성,2021-01-24,2021-01-24
36809,49.03,1.82,669,49.59,남성,2021-01-24,2021-01-24
14140,18.83,0.30,43,3.19,50-59,2021-01-24,2021-01-24
11824,15.75,1.35,160,11.86,60-69,2021-01-24,2021-01-24
4783,6.37,0.00,0,0.00,10-19,2021-01-24,2021-01-24
2828,3.75,0.00,0,0.00,0-9,2021-01-25,2021-01-25
11875,15.73,1.36,161,11.84,60-69,2021-01-25,2021-01-25
38470,50.94,1.79,687,50.51,여성,2021-01-25,2021-01-25
11608,15.37,0.00,0,0.00,20-29,2021-01-25,2021-01-25
14212,18.82,0.31,44,3.24,50-59,2021-01-25,2021-01-25
9647,12.78,0.06,6,0.44,30-39,2021-01-25,2021-01-25
37043,49.06,1.82,673,49.49,남성,2021-01-25,2021-01-25
3759,4.98,20.30,763,56.10,80 이상,2021-01-25,2021-01-25
4921,6.52,0.00,0,0.00,10-19,2021-01-25,2021-01-25
10811,14.32,0.09,10,0.74,40-49,2021-01-25,2021-01-25
5852,7.75,6.43,376,27.65,70-79,2021-01-25,2021-01-25
14271,18.81,0.32,45,3.28,50-59,2021-01-26,2021-01-26
11930,15.73,1.37,163,11.89,60-69,2021-01-26,2021-01-26
2843,3.75,0.00,0,0.00,0-9,2021-01-26,2021-01-26
11672,15.39,0.00,0,0.00,20-29,2021-01-26,2021-01-26
10861,14.32,0.09,10,0.73,40-49,2021-01-26,2021-01-26
4951,6.53,0.00,0,0.00,10-19,2021-01-26,2021-01-26
3778,4.98,20.28,766,55.87,80 이상,2021-01-26,2021-01-26
5866,7.73,6.50,381,27.79,70-79,2021-01-26,2021-01-26
38663,50.96,1.78,690,50.33,여성,2021-01-26,2021-01-26
37199,49.04,1.83,681,49.67,남성,2021-01-26,2021-01-26
9690,12.77,0.06,6,0.44,30-39,2021-01-26,2021-01-26
3801,4.97,20.26,770,55.88,80 이상,2021-01-27,2021-01-27
5048,6.61,0.00,0,0.00,10-19,2021-01-27,2021-01-27
11998,15.70,1.37,164,11.90,60-69,2021-01-27,2021-01-27
2885,3.78,0.00,0,0.00,0-9,2021-01-27,2021-01-27
14350,18.78,0.31,45,3.27,50-59,2021-01-27,2021-01-27
5892,7.71,6.50,383,27.79,70-79,2021-01-27,2021-01-27
37478,49.04,1.82,683,49.56,남성,2021-01-27,2021-01-27
38943,50.96,1.78,695,50.44,여성,2021-01-27,2021-01-27
10946,14.32,0.09,10,0.73,40-49,2021-01-27,2021-01-27
11739,15.36,0.00,0,0.00,20-29,2021-01-27,2021-01-27
9762,12.77,0.06,6,0.44,30-39,2021-01-27,2021-01-27
9820,12.77,0.06,6,0.43,30-39,2021-01-28,2021-01-28
37752,49.08,1.82,686,49.49,남성,2021-01-28,2021-01-28
11803,15.34,0.00,0,0.00,20-29,2021-01-28,2021-01-28
3826,4.97,20.31,777,56.06,80 이상,2021-01-28,2021-01-28
12067,15.69,1.37,165,11.90,60-69,2021-01-28,2021-01-28
5095,6.62,0.00,0,0.00,10-19,2021-01-28,2021-01-28
14438,18.77,0.31,45,3.25,50-59,2021-01-28,2021-01-28
39166,50.92,1.79,700,50.51,여성,2021-01-28,2021-01-28
11026,14.33,0.09,10,0.72,40-49,2021-01-28,2021-01-28
5925,7.70,6.46,383,27.63,70-79,2021-01-28,2021-01-28
2918,3.79,0.00,0,0.00,0-9,2021-01-28,2021-01-28
5134,6.63,0.00,0,0.00,10-19,2021-01-29,2021-01-29
11100,14.34,0.09,10,0.71,40-49,2021-01-29,2021-01-29
2940,3.80,0.00,0,0.00,0-9,2021-01-29,2021-01-29
12140,15.69,1.36,165,11.79,60-69,2021-01-29,2021-01-29
