confirmed_cases,confirmed_case_rate,critical_rate,deaths,death_rate,age_group,date,date
105094,14.75,0.09,92,1.42,40-49,2022-01-20,2022-01-20
106118,14.75,0.09,92,1.42,40-49,2022-01-21,2022-01-21
107164,14.76,0.09,92,1.41,40-49,2022-01-22,2022-01-22
108294,14.76,0.08,92,1.41,40-49,2022-01-23,2022-01-23
109505,14.77,0.08,93,1.42,40-49,2022-01-24,2022-01-24
109505,14.77,0.08,93,1.42,40-49,2022-01-24,2022-01-24
110862,14.78,0.08,94,1.43,40-49,2022-01-25,2022-01-25
112957,14.80,0.08,95,1.44,40-49,2022-01-26,2022-01-26
115184,14.81,0.08,95,1.43,40-49,2022-01-27,2022-01-27
117672,14.83,0.08,95,1.42,40-49,2022-01-28,2022-01-28
120339,14.84,0.08,95,1.42,40-49,2022-01-29,2022-01-29
123042,14.85,0.08,96,1.43,40-49,2022-01-30,2022-01-30
125701,14.86,0.08,97,1.44,40-49,2022-01-31,2022-01-31
128621,14.89,0.08,97,1.43,40-49,2022-02-01,2022-02-01
131937,14.92,0.07,98,1.44,40-49,2022-02-02,2022-02-02
135775,14.97,0.07,98,1.44,40-49,2022-02-03,2022-02-03
140387,15.02,0,98,1.43,40-49,2022-02-04,2022-02-04
146182,15.05,0.07,98,1.43,40-49,2022-02-05,2022-02-05
152342,15.09,0.06,98,1.43,40-49,2022-02-06,2022-02-06
157981,15.12,0.06,98,1.43,40-49,2022-02-07,2022-02-07
163866,15.15,0.06,99,1.43,40-49,2022-02-08,2022-02-08
171440,15.16,0.06,99,1.43,40-49,2022-02-09,2022-02-09
179529,15.15,0.06,99,1.42,40-49,2022-02-10,2022-02-10
187644,15.14,0.05,100,1.43,40-49,2022-02-11,2022-02-11
195826,15.13,0.05,101,1.43,40-49,2022-02-12,2022-02-12
204268,15.12,0.05,103,1.45,40-49,2022-02-13,2022-02-13
212802,15,0.05,103,1,40-49,2022-02-14,2022-02-14
221794,15,0.05,103,1,40-49,2022-02-15,2022-02-15
236323,15,0.04,104,1,40-49,2022-02-16,2022-02-16
251517,15,0.04,105,1,40-49,2022-02-17,2022-02-17
269779,15,0.04,105,1,40-49,2022-02-18,2022-02-18
286240,15.41,0.04,105,1.43,40-49,2022-02-19,2022-02-19
302856,15.43,0.03,105,1.42,40-49,2022-02-20,2022-02-20
318461,15.47,0.03,105,1.41,40-49,2022-02-21,2022-02-21
335171,16,0.03,105,1,40-49,2022-02-22,2022-02-22
363820,15.62,0.03,106,1.39,40-49,2022-02-23,2022-02-23
391860,16,0,107,1,40-49,2022-02-24,2022-02-24
419445,15.74,0.03,107,1.37,40-49,2022-02-25,2022-02-25
446547,16,0,109,1,40-49,2022-02-26,2022-02-26
472482,16,0,110,1,40-49,2022-02-27,2022-02-27
495533,15.81,0.02,110,1.37,40-49,2022-02-28,2022-02-28
518264,15.83,0.02,115,1.41,40-49,2022-03-01,2022-03-01
554009,15.86,0.02,116,1.40,40-49,2022-03-02,2022-03-02
586925,15.90,0.02,116,1.38,40-49,2022-03-03,2022-03-03
629452,15.90,0.02,118,1.38,40-49,2022-03-04,2022-03-04
668923,15.88,0.02,122,1.39,40-49,2022-03-05,2022-03-05
706079,15.84,0.02,122,1.36,40-49,2022-03-06,2022-03-06
738543,15.82,0.02,125,1.37,40-49,2022-03-07,2022-03-07
770029,15.81,0.02,127,1.37,40-49,2022-03-08,2022-03-08
821097,16,0,127,1,40-49,2022-03-09,2022-03-09
870418,15.71,0.01,128,1.33,40-49,2022-03-10,2022-03-10
915442,15.72,0.01,132,1.34,40-49,2022-03-11,2022-03-11
972734,15.67,0.01,133,1.31,40-49,2022-03-12,2022-03-12
1024118,15.62,0.01,136,1.31,40-49,2022-03-13,2022-03-13
1071692,15.61,0.01,138,1.30,40-49,2022-03-14,2022-03-14
1128622,15.61,0.01,141,1.30,40-49,2022-03-15,2022-03-15
1188234,15.57,0.01,143,1.29,40-49,2022-03-16,2022-03-16
1281687,15.53,0.01,150,1.31,40-49,2022-03-17,2022-03-17
1343470,15.52,0.01,153,1.30,40-49,2022-03-18,2022-03-18
1399382,15.48,0.01,157,1.30,40-49,2022-03-19,2022-03-19
1399382,15.48,0.01,157,1.30,40-49,2022-03-19,2022-03-19
1448549,15.45,0.01,158,1.27,40-49,2022-03-20,2022-03-20
1480868,15.45,0.01,164,1.29,40-49,2022-03-21,2022-03-21
1536352,15.46,0.01,173,1.32,40-49,2022-03-22,2022-03-22
1610805,15.45,0.01,177,1.32,40-49,2022-03-23,2022-03-23
1674123,15.47,0.01,182,1.31,40-49,2022-03-24,2022-03-24
1727694,15.48,0.01,186,1.30,40-49,2022-03-25,2022-03-25
1778214,15.47,0.01,188,1.29,40-49,2022-03-26,2022-03-26
1826676,15.46,0.01,190,1.28,40-49,2022-03-27,2022-03-27
1856191,15.46,0.01,193,1.27,40-49,2022-03-28,2022-03-28
1911498,15.48,0.01,196,1.27,40-49,2022-03-29,2022-03-29
1976979,15.48,0.01,198,1.25,40-49,2022-03-30,2022-03-30
2028833,15.49,0.01,203,1.25,40-49,2022-03-31,2022-03-31
2073352,15.50,0.01,208,1.25,40-49,2022-04-01,2022-04-01
2113993,16,0,222,1,40-49,2022-04-02,2022-04-02
2150466,16,0,228,1,40-49,2022-04-03,2022-04-03
2170644,15.5,0.01,230,1.32,40-49,2022-04-04,2022-04-04
2170644,15.50,0.01,230,1.32,40-49,2022-04-04,2022-04-04
2213359,15.51,0.01,232,1.31,40-49,2022-04-05,2022-04-05
2256955,15.51,0.01,237,1.31,40-49,2022-04-06,2022-04-06
2292407,15.51,0.01,245,1.33,40-49,2022-04-07,2022-04-07
2324895,15.52,0.01,247,1.32,40-49,2022-04-08,2022-04-08
2352520,15.51,0.01,248,1.30,40-49,2022-04-09,2022-04-09
2377587,15.51,0.01,250,1.29,40-49,2022-04-10,2022-04-10
2391947,15.51,0.01,253,1.29,40-49,2022-04-11,2022-04-11
2425459,15.51,0.01,254,1.28,40-49,2022-04-12,2022-04-12
2454789,15.51,0.01,255,1.27,40-49,2022-04-13,2022-04-13
2477710,15.51,0.01,261,1.28,40-49,2022-04-14,2022-04-14
2497074,15.51,0.01,264,1.28,40-49,2022-04-15,2022-04-15
2513192,15.50,0.01,267,1.28,40-49,2022-04-16,2022-04-16
2527156,15.50,0.01,268,1.27,40-49,2022-04-17,2022-04-17
2534697,15.5,0.01,269,1.27,40-49,2022-04-18,2022-04-18
2553469,15.5,0.01,273,1.28,40-49,2022-04-19,2022-04-19
2570087,15.5,0.01,275,1.28,40-49,2022-04-20,2022-04-20
2584017,15.5,0.01,279,1.29,40-49,2022-04-21,2022-04-21
2596283,15.5,0.01,281,1.28,40-49,2022-04-22,2022-04-22
2607169,15.49,0.01,281,1.28,40-49,2022-04-23,2022-04-23
2616871,15.49,0.01,282,1.27,40-49,2022-04-24,2022-04-24
2622206,15.49,0.01,283,1.27,40-49,2022-04-25,2022-04-25
2634896,15.49,0.01,284,1.27,40-49,2022-04-26,2022-04-26
2646252,15.49,0.01,284,1.26,40-49,2022-04-27,2022-04-27
2655075,15.49,0.01,285,1.26,40-49,2022-04-28,2022-04-28
2662568,15.48,0.01,285,1.25,40-49,2022-04-29,2022-04-29
2668715,15,0,286,1,40-49,2022-04-30,2022-04-30
2674220,15,0,289,1,40-49,2022-05-01,2022-05-01
2677409,15.48,0.01,289,1.26,40-49,2022-05-02,2022-05-02
2685146,15.48,0.01,291,1.26,40-49,2022-05-03,2022-05-03
2692229,15.48,0.01,291,1.26,40-49,2022-05-04,2022-05-04
2698510,15.47,0.01,295,1.27,40-49,2022-05-05,2022-05-05
2702313,15.47,0.01,296,1.28,40-49,2022-05-06,2022-05-06
2708155,15.47,0.01,299,1.28,40-49,2022-05-07,2022-05-07
2713985,15.47,0.01,301,1.29,40-49,2022-05-08,2022-05-08
2717165,15.47,0.01,301,1.29,40-49,2022-05-09,2022-05-09
2724949,15.47,0.01,302,1.29,40-49,2022-05-10,2022-05-10
2731321,15.47,0.01,302,1.29,40-49,2022-05-11,2022-05-11
2736427,15.46,0.01,304,1.29,40-49,2022-05-12,2022-05-12
2741010,15.46,0.01,306,1.30,40-49,2022-05-13,2022-05-13
2745149,15.46,0.01,308,1.30,40-49,2022-05-14,2022-05-14
2748769,15.46,0.01,308,1.30,40-49,2022-05-15,2022-05-15
2750812,15.46,0.01,310,1.31,40-49,2022-05-16,2022-05-16
2756218,15.46,0.01,311,1.31,40-49,2022-05-17,2022-05-17
2760653,15.46,0.01,311,1.31,40-49,2022-05-18,2022-05-18
2764816,15.45,0.01,315,1.32,40-49,2022-05-19,2022-05-19
2768368,15.45,0.01,316,1.32,40-49,2022-05-20,2022-05-20
2771706,15.45,0.01,316,1.32,40-49,2022-05-21,2022-05-21
2774536,15.45,0.01,317,1.32,40-49,2022-05-22,2022-05-22
2776066,15.45,0.01,317,1.32,40-49,2022-05-23,2022-05-23
2780078,15.45,0.01,317,1.32,40-49,2022-05-24,2022-05-24
2783423,15.45,0.01,317,1.32,40-49,2022-05-25,2022-05-25
2786030,15.45,0.01,317,1.32,40-49,2022-05-26,2022-05-26
2788396,15.45,0.01,319,1.32,40-49,2022-05-27,2022-05-27
2790362,15.44,0.01,319,1.32,40-49,2022-05-28,2022-05-28
2792215,15.44,0.01,322,1.33,40-49,2022-05-29,2022-05-29
2793148,15.44,0.01,322,1.33,40-49,2022-05-30,2022-05-30
2795677,15.44,0.01,322,1.33,40-49,2022-05-31,2022-05-31
2797803,15.44,0.01,322,1.33,40-49,2022-06-01,2022-06-01
2799175,15.44,0.01,322,1.33,40-49,2022-06-02,2022-06-02
2800997,15.44,0.01,323,1.33,40-49,2022-06-03,2022-06-03
2802576,15.44,0.01,323,1.33,40-49,2022-06-04,2022-06-04
2804009,15.44,0.01,323,1.33,40-49,2022-06-05,2022-06-05
2804752,15.44,0.01,323,1.33,40-49,2022-06-06,2022-06-06
2805707,15.44,0.01,323,1.33,40-49,2022-06-07,2022-06-07
2807657,15.44,0.01,323,1.33,40-49,2022-06-08,2022-06-08
2809320,15.44,0.01,323,1.33,40-49,2022-06-09,2022-06-09
2810603,15,0,324,1,40-49,2022-06-10,2022-06-10
2811763,15,0,324,1,40-49,2022-06-11,2022-06-11
2812812,15,0,325,1,40-49,2022-06-12,2022-06-12
2813358,15,0,325,1,40-49,2022-06-13,2022-06-13
2814853,15,0,325,1,40-49,2022-06-14,2022-06-14
2816202,15.43,0.01,325,1.33,40-49,2022-06-15,2022-06-15
2817375,15.43,0.01,325,1.33,40-49,2022-06-16,2022-06-16
2818385,15.43,0.01,326,1.34,40-49,2022-06-17,2022-06-17
2819364,15.43,0.01,327,1.34,40-49,2022-06-18,2022-06-18
2820255,15.43,0.01,327,1.34,40-49,2022-06-19,2022-06-19
2820818,15.43,0.01,327,1.34,40-49,2022-06-20,2022-06-20
2822294,15.43,0.01,327,1.34,40-49,2022-06-21,2022-06-21
2823692,15.43,0.01,327,1.34,40-49,2022-06-22,2022-06-22
2824802,15.43,0.01,328,1.34,40-49,2022-06-23,2022-06-23
2825890,15.43,0.01,328,1.34,40-49,2022-06-24,2022-06-24
2826888,15.43,0.01,329,1.34,40-49,2022-06-25,2022-06-25
2827857,15.43,0.01,330,1.35,40-49,2022-06-26,2022-06-26
2828397,15.43,0.01,330,1.35,40-49,2022-06-27,2022-06-27
2829966,15.43,0.01,330,1.35,40-49,2022-06-28,2022-06-28
2831549,15.43,0.01,330,1.34,40-49,2022-06-29,2022-06-29
